Bovine_OF,Bovine_OEV,Feline_OEV,Porcine_OEV,Dunnart_OF,Equine_OF,Human_OF,Canine_OF
MTMR9,,LOC101097701,MVP,EPPK1,COPB1,,F6XVB6
MTOR,,LOC101098145,Myadm,EPRS1,MPI,,Q50KA8
MUC1,,LOC101098159,MYCBP2,EPS15,CIRBP,,Q50KA9
MUC4,,LOC101098354,MYH10,EPS15L1,COPA,,E2R4X3
MVB12A,,LOC101098601,MYH14,EPS8L1,NAPA,,J9NS06
MVP,,LOC101098644,MYH9,EPS8L2,CA1,,F1PVZ2
MYCBP2,,LOC101098747,MYL12A,EPX,EMILIN3,,J9NS00
MYDGF,,LOC101098952,Myl6,ERAP1,NANS,,F6Y4A3
MYH10,,LOC101098967,MYLK,ERC1,CLTCL1,,F1P9Z4
MYH11,,LOC101099090,MYO18A,ERGIC1,PLG ,,E2RR58
MYH14,,LOC101099222,MYO1B,ERGIC3,MAP2K6,,E2QYN0
MYH9,,LOC101099268,MYO1C,ERI3,UBR4,,J9P6N4
MYL3,,LOC101099477,MYO1D,ERLEC1,GSPT1,,J9NRF4
MYL6,,LOC101099574,Myo1e,ERLIN2,FNTA,,J9P883
MYL9,,LOC101099622,MYO5A,ERP29,SOD1,,F1PRC5
MYLK,,LOC101099731,MYO5B,ERP44,CLNS1A,,E2RC86
MYO18A,,LOC101099773,MYO5C,ESD,PRKACB,,E2RPN1
MYO1B,,LOC101099779,MYO6,ESR1,PSPH,,F1PTX4
MYO1C,,LOC101099822,MYO9B,ESRP1,CFAP20,,F1P609
MYO1D,,LOC101100226,MYOF,ESYT1,RPL39,,E2R507
MYO1E,,LOC101100259,NAALADL2,ESYT2,CCAR1,,F1PJ65
MYO5A,,LOC101100486,naca,ETF1,STRAP,,E2RHG2
MYO5B,,LOC101100574,NADSYN1,ETFA,SEPTIN9,,E2RQP6
MYO6,,LOC101100814,Nampt,ETFB,SERPINF1,,E2R503
MYO9B,,LOC101100989,NANS,ETFDH,SNRPE,,F1PSI7
MYOF,,LOC101101125,NAP1L1,EVPL,BAX,,J9P0Q7
NAA10,,LOC101101243,Nap1l4,EXOC1,TANK,,E2RPE8
NAALADL2,,LOC101101494,NAPA,EXOC2,SDCBP,,F1PIB3
NACA,,LOC101101684,Napg,EXOC3,DR1,,E2RPE5
NADSYN1,,LOC102899134,NBEA,EXOC4,PPME1,,F1PE09
NAGA,,LOC102899210,NBEAL1,EXOC5,GMPR,,F1PXN2
NAMPT,,LOC102899259,ncaldb,EXOC8,UBA3,,F1PM56
NANS,,LOC102899273,NCAPD2,EXOSC10,RAB11FIP1,,E2RAG9
NAP1L1,,LOC102899391,NCAPG,EXOSC2,WDR54,,E2RNT3
NAP1L4,,LOC102900083,Ncdn,EXOSC3,TPK1,,J9NZ15
NAPA,,LOC102900754,NCEH1,EXOSC4,MVB12A,,E2RM89
NAPG,,LOC102901114,Nck1,EXOSC7,ATAD3A,,F1PKQ2
NAXE,,LOC102901316,NCKAP1,EXOSC8,SETX,,J9P4N2
NBEA,,LOC102901728,NCL,EXOSC9,RPL28,,F1PAM3
NBEAL1,,LOC102902086,NDRG2,EZR,ATP2C2,,F1PEU6
NCDN,,LOC102902599,NDUFS1,F10,EIF3D,,F2Z4N6
NCK1,,LOC105259637,NDUFV1,F11,HRAS,,F2Z4N7
NCKAP1,,LOC105259663,NECAP2,F11R,PSMD9,,F1PIM5
NCL,,LOC105259797,NEDD4L,F12,GGA1,,F2Z4N5
NCS1,,LOC105260228,NEK10,F13A1,NUDCD3,,F2Z4N2
NDRG1,,LOC105260537,NEK9,F2,LYPLA1,,F2Z4N3
NDRG2,,LOC105260540,NF1,F5,ENSECAG00000018050,,E2QU43
NECAP2,,LOC105260541,Nf2,F9,ELOC,,F1Q3U2
NEDD4L,,LOC105260551,NFKB1,FABP3,FADD,,Q8MJ47
NEK9,,LOC105260573,NFKB2,FABP4,DIABLO,,E2QS94
NELFB,,LOC105260654,NGLY1,FADD,CRPPA,,F1Q2Z4
NF2,,LOC105260844,Nid1,FAF1,NCKAP1,,E2QUT0
NFKB1,,LOC105260977,NLN,FAF2,HNRNPH1,,E2RKJ6
NFKB2,,LOC105261138,NME2P1,FAH,RABEP2,,J9P7X5
NGLY1,,LOC105261186,NMT1,FAHD2A,BABAM1,,E2QVP6
NID1,,LONP1,NNT,FAIM,AMPD2,,F1PAI5
NME7,,LONRF3,NOMO1,FAM114A1,ENSECAG00000043666,,F6XHT8
NME9,,LPAR3,Nos1,FAM114A2,VTA1,,J9P7X1
NMRK1,,LRBA,NPC1L1,FAM120A,EIF3L,,F1P9H6
NMT1,,LRGUK,NPEPPS,FAM120B,PEF1,,E2RQ65
NONO,,LRIF1,Nploc4,FAM160B1,STMN2,,J9P938
NPEPL1,,LRIG1,Nptn,FAM162A,MAT2B,,E2RM61
NPEPPS,,LRPAP1,NRBP1,FAM169A,ARPC5L,,F1PW98
NPLOC4,,LRRC23,Nrd1,FAM172A,ACTN2,,J9P830
NPM1,,LRRC34,Nsdhl,FAM3C,FABP5,,G1K277
NPTN,,LRRC40,Nsf,FAM91A1,PDCD6,,J9P425
NRAS,,LRRC45,Nt5c2,FAM98A,FAM114A1,,F1PEC2
NRBP1,,LRRFIP1,Ntn1,FARP1,SNRPD3,,E2RD92
NSF,,LSM8,Nudc,FARSA,C7H11orf58,,F1PHM4
NSFL1C,,LTA4H,NUDCD1,FARSB,PPP3R1,,F1P679
NT5C2,,LTF,NUMB,FBL,RAB5A,,E2R5U7
NT5E,,LYRM1,Nup214,FBLN2,XPO7,,E2RSD7
NUCB1,,M6PR,NUP93,FBXO22,PRMT1,,E2R2K4
NUCB2,,MAFK,OGDH,FBXO3,RTCB,,F1PCJ7
NUCKS1,,magoh,OGT,FBXO7,RPS29,,F1Q056
NUDC,,MAGOHB,Ola1,FBXW12,SLC34A2,,E2QY08
NUDCD1,,MAGT1,OLFM3,FBXW9,ENSECAG00000021090,,E2R0K4
NUMA1,,MAK,Opa1,FCGRT,PFDN6,,E2R0K5
NUMB,,MAN2B1,Oplah,FCHO2,RNPEP,,E2RH47
NUP214,,MANF,OSBP,FDPS,MCTS1,,E2RKG3
NUP93,,MAOA,Osbpl11,FDXR,EIF4G3,,F1PAR7
OGT,,MAOB,OSBPL3,FECH,TP53RK,,E2RKA9
OLA1,,MAP3K3,OSBPL9,FERMT1,ROCK1,,P38400
OPLAH,,MAP7D3,OTUB1,FERMT2,FIS1,,F1PAR8
OSBP,,MAP9,Otud7b,FERMT3,FAM98B,,F1PLV0
OSBPL3,,MAPK15,Oxsr1,FGA,SUMO3,,F1PDI6
OSBPL9,,MAPK9,P4HA1,FGB,PCNP,,J9NRV1
OSCP1,,MARC1,P4HB,FGFR1OP,TRAM1L1,,E2R119
OSMR,,MARC2,PA2G4,FGG,CYFIP1,,F1PYS6
OTUB1,,MARS,Pabpc1,FGGY,FKBP5,,J9NUJ4
OVGP1,,MAT2A,PABPC4,FH,ENSECAG00000023388,,E2RBU1
OXSR1,,MATR3,Pacrg,FHIT,GBA3,,J9NU88
P4HA1,,MCCC1,Pacsin1,FHL1,PTPN11,,J9NU89
P4HB,,MCCC2,PACSIN2,FHL2.1,ABI1,,J9NU25
PA2G4,,MDM1,PACSIN3,FHL3,WBP2,,E2RGP2
PABPC1,,ME2,Padi2,FIBP,RPL27A,,J9PA46
PABPC4,,ME3,Pafah1b1,FIS1,GNA11,,F6X4J2
PACSIN1,,MECP2,Pak2,FKBP15,ENSECAG00000042692,,L7N0D9
PACSIN2,,MECR,PAK4,FKBP1A,GLOD4,,F1P8G3
PADI2,,MED14,PARD6B,FKBP2,SERPINF2,,F1PA22
PAFAH1B1,,MELTF,PARK7,FKBP3,ENSECAG00000008542,,E2R5C3
PAICS,,MESDC2,PARVA,FKBP4,DNM1L,,E2RJV9
PAK2,,MFGE8,PCBP1,FKBP5,RAD23A,,E2RJQ2
PAK4,,MGST2,Pcbp2,FLII,ENSECAG00000039093,,E2RMC1
PARK7,,MLEC,PCCB,FLNA,ACTG1,,E2RJV6
PARP1,,MLF1,PCM1,FLNB,EIF3G,,E2RF38
PARVA,,MLF2,PCSK5,FLNC,PURA,,E2RQ08
PCBP1,,MLIP,Pcyox1,FLOT1,FAM120A,,F1Q3L3
PCBP2,,MORC1,Pdcd10,FLOT2,ARPC5,,P49256
PCM1,,MOSPD1,PDCD4,FMR1,RARRES2,,F1PBI6
PDCD10,,MPC2,Pdcd6,FN1,PPM1J,,E2RHF5
PDCD4,,MPDU1,PDCD6IP,FNBP1L,ANXA2,,E2R0P3
PDCD6,,MPP2,PDE4DIP,FNTA,SWAP70,,J9NU79
PDCD6IP,,MRTO4,Pde6d,FNTB,MARCKS,,E2R8E5
PDE4DIP,,MSN,PDIA3,FOCAD,BANF1,,E2RFV7
PDE6D,,MTCH1,PDIA4,FRY,CARHSP1,,F1P7S9
PDIA3,,MTDH,Pdia6,FRYL,PDCD5,,E2R7R0
PDIA4,,MTHFD1,Pdlim5,FSCN1,GAMT,,F1PXA0
PDIA5,,MTMR9,PDZK1,FSD1L,PPP6R1,,P02648
PDIA6,,MTOR,Pelo,FSTL1,BCL2A1,,J9P1J5
PDLIM1,,MVP,Pepd,FTH1,ENSECAG00000013303,,F1PS82
PDLIM5,,MYBBP1A,Pfn2,FTL,ENSECAG00000029003,,F1PE28
PDXK,,MYDGF,Pgam1,FUBP1,TUBB,,E2RDK4
PDZK1,,MYEF2,Pgm1,FUBP3,CRYM,,E2QV97
PEBP1,,MYH10,PGM2,FXR1,PEA15,,E2RKS4
PELO,,MYH11,Pgm5,FXR2,CAPG,,F1PVM9
PEPD,,MYH14,PGR,G3BP1.1,DPYD,,F1PIP7
PFKL,,MYH9,PHB2,G6PD,PITHD1,,F1PIP0
PFKM,,MYL1,PHKA1,GABARAP,FN3KRP,,F1P8N6
PFN1,,MYL3,Phka2,GABARAPL2,SEC14L3,,E2RLQ9
PFN2,,MYL6,PHKB,GABPA,RAB35,,E2RLQ6
PGAM1,,MYL6B,Phpt1,GALE,THAP4,,E2RLQ4
PGD,,MYL9,Pi4k2a,GALK1,GPI,,F6XY66
PGK1,,MYLK,PI4KA,GALK2,TRAP1,,E2RLQ2
PGM1,,MYO1C,PICK1,GALM,APOC2,,J9NYB5
PGM2,,MYO1D,Pigk,GALNS,BAG6,,J9PAQ7
PGM5,,MYO6,PIGR,GALNT1,RAB8B,,E2R118
PGR,,MYO9A,PIK3AP1,GALNT2,ACOT4,,F6XIK8
PHKA1,,MYOF,PIK3C3,GALT,SH3GLB1,,A0A0B4J194
PHKA2,,NAA10,PIK3CA,GAMT,CARMIL1,,J9PAQ1
PHKB,,NAGA,PIK3R4,GANAB,PRKAR1A,,J9P9C4
PHPT1,,NAGLU,Pip4k2a,GAPDH,FTL,,F1Q2F6
PI4KA,,NAP1L1,Pip4k2b,GAPVD1,NUDT9,,E2QV08
PICK1,,NAP1L4,PIP4K2C,GAR1,ENSECAG00000000097,,F6XRY2
PIGR,,NAPA,PITPNA,GARS1,MAT2A,,F1Q3G5
PIK3AP1,,NAPB,Pitpnb,GART,ARFIP1,,F1Q3G7
PIK3C3,,NARS,PKHD1L1,GATD1,SCRN3,,E2QW69
PIK3CA,,NAXE,Pkm,GCA,VPS25,,E2RHY7
PIK3R4,,NCCRP1,PKN1,GCC2,LSM2,,J9P4R8
PIP4K2A,,NCKAP1,Pkn2,GCDH,TAGLN3,,P63273
PIP4K2B,,NCL,PKP1,GCLC,ENO3,,F1PEI2
PIP4K2C,,NCLN,PLAA,GCLM,ECPAS,,J9NV14
PITPNA,,NCS1,Plcb1,GCN1,AFM,,F6X9E9
PITPNB,,NDN,PLCB3,GDA,ENSECAG00000031302,,O18840
PKHD1L1,,NDUFA12,PLCD1,GDI1,RAB14,,E2R2S9
PKM,,NDUFA13,Plcg2,GDI2,AP2B1,,F1PCE8
PKN1,,NDUFA9,Plcxd3,GEMIN5,AAMDC,,G1K2D8
PKN2,,NDUFB10,PLD1,GET3,PDIA6,,J9NUS5
PLAA,,NDUFB11,PLEC,GET4,PIP4K2C,,F1PRT4
PLCB1,,NDUFB5,Plekha1,GFPT1,JPT2,,F6Y8P9
PLCD1,,NDUFB6,Pls1,GGA1,EIF3M,,E2QUT7
PLCG2,,NDUFS1,PLS3,GGA2,S100A6,,E2RH91
PLEC,,NDUFS2,PLXNB2,GGACT,EIF4E,,F1P9T5
PLS1,,NDUFS7,PNP,GGT5,NQO1,,E2R9I1
PLS3,,NDUFS8,POC5,GIPC1,ENSECAG00000038332,,E2RKT9
PLXNB2,,NDUFV1,Polr2b,GIT1,PBDC1,,F1PPH7
PNP,,NEFH,POR,GK,HSPA4L,,J9JHP0
PODXL,,NELFB,Postn,GLB1,ALDH1A1 ,,F1PDB4
POLR2B,,nfe2l3,PPA1,GLDC,IST1,,F1PKU9
POSTN,,NFIA,Ppfibp2,GLG1,HSPA1L,,E2RK00
PPA1,,NID1,PPIA,GLIPR2,WNK1,,E2R150
PPFIBP2,,NID2,Ppib,GLMN,VASP,,J9PB49
PPIA,,NIFK,PPL,GLO1,HBA ,,J9NYK7
PPIB,,NLRC4,Ppm1b,GLOD4,EED,,E2RAT6
PPL,,NME1,Ppme1,GLRX,UBA2,,F1Q3Y2
PPM1B,,NME7,Ppp1cb,GLRX3,EIF6,,E2RG10
PPME1,,NME9,ppp1cc-b,GLS,RPL21,,F1Q3Y0
PPP1CB,,NMRK1,PPP1R12A,GLUD1,IQGAP2,,J9NZ55
PPP1R12A,,NNT,PPP1R21,GLUL,RPS28,,F1P6A4
PPP1R16A,,NOLC1,Ppp1r7,GM2A,CD81,,Q3YIX4
PPP1R21,,nomo3,Ppp1r9a,GMDS,ENSECAG00000006082,,F1PTP3
PPP1R7,,NONO,PPP1R9B,GMFB,ENSECAG00000006417,,F6XLB5
PPP2CA,,NOP56,PPP2CA,GMPPA,CFL2,,J9P0J7
PPP2R1A,,NPEPL1,Ppp2r1a,GMPPB,HSPA2,,Q6TEQ7
PPP2R1B,,NPEPPS,Ppp2r1b,GMPR,VTN,,J9JHI3
PPP2R2A,,NPM1,Ppp2r2a,GMPS,SYPL1,,E2RBC3
PPP2R5A,,NPTN,PPP2R4,GNA11,WIPF3,,J9P168
PPP2R5D,,nptxr,Ppp2r5a,GNA13,PTGES3,,Q29393
PPP2R5E,,NRAS,PPP2R5D,GNAI2,SNF8,,F1PH35
PPP4R1,,NSF,Ppp2r5e,GNAI3,L3HYPDH,,E2RBC5
PPP5C,,NSFL1C,PPP4R1,GNAS,EHD1,,
PPP6C,,NT5E,Ppp5c,GNB1,CBR3,,
PPP6R3,,NUCB1,Ppp6c,GNB2,ASPSCR1,,
PRDX1,,NUCB2,PPP6R3,GNB4,LSM8,,
PRDX2,,NUCKS1,Prdx1,GNE,AAMDC,,
PRDX4,,NUDC,PRDX4,GNL1,FBXO7,,
PRDX6,,NUMA1,PREB,GNPAT,PRKCA,,
PREP,,NUP210,PREP,GNPDA1,SERPING1,,
PRKAA1,,NUP93,Prkaa1,GNPDA2,VPS35,,
PRKAB1,,OAT,PRKAB1,GNPNAT1,ENSECAG00000036819,,
PRKACA,,ODF2,Prkaca,GNS,ENSECAG00000030892,,
PRKACB,,ODF3B,PRKACB,GOLGA2,ENSECAG00000020136,,
PRKAG1,,OGDH,PRKACG,GOLGA3,RTRAF,,
PRKAR1A,,OPA1,PRKAG1,GOLGA4,P4HB,,
PRKAR2A,,OS9,Prkar1a,GOLGB1,AASDHPPT,,
PRKAR2B,,OSMR,PRKAR2A,GOLM1,LRP2,,
PRKCA,,OVGP1,Prkar2b,GOLPH3,BPNT1,,
PRKCD,,OXSR1,Prkca,GOLPH3L,EIF3E,,
PRKCI,,P4HA1,PRKCD,GOPC,GNG12,,
PRKD2,,P4HB,Prkcg,GORASP2,PDIA3,,
PRMT1,,PA2G4,PRKCI,GOT1,ENSECAG00000029003,,
PRMT5,,PABPC1,PRKD1,GOT2,ENSECAG00000032188,,
PROM1,,PABPC1L,PRKD2,GPCPD1,UBAP2L,,
PRPF8,,PABPC4,PRKD3,GPD1L,ACTB ,,
PRPS1,,PACRG,Prmt1,GPD2,SH3BGRL3,,
PRPS2,,PACSIN2,prmt1-a,GPHN,ENSECAG00000021789,,
PRPSAP1,,PAFAH1B1,PRMT5,GPI,SPI2,,
PRPSAP2,,PAICS,Prpf8,GPNMB,PPP1CA,,
PRRC1,,PARK7,Prps1,GPRC5A,FBP1,,
PSAT1,,PARP1,prps2,GPRC5C,GSTA3,,
PSMA1,,PARP6,Prpsap1,GPT,RALB,,
PSMA3,,PATE2,Prpsap2,GPX1,LYPLAL1,,
PSMA4,,PCBP1,PRRC1,GPX2,SCAMP2,,
PSMA5,,PCBP2,PSAT1,GPX3,PIP4K2C,,
PSMA6,,PCBP3,PSMA1,GPX4,KRT77,,
PSMA7,,PCCA,Psma2,GRB2,FERMT2,,
PSMB1,,PCED1A,Psma3,GRHPR,ENSECAG00000013269,,
PSMB3,,PCED1B,Psma4,GRIPAP1,DNAH9,,
PSMB5,,PCM1,Psma5,GSK3B,FBXW9,,
PSMB6,,PDCD6,Psma6,GSN,UBE2I,,
PSMB7,,PDCD6IP,Psma7,GSN.1,HNRNPDL,,
PSMC1,,PDHA1,PSMB1,GSR,KRT1,,
PSMC2,,PDHB,Psmb3,GSS,USO1,,
PSMC3,,PDIA3,PSMB5,GSTA1,ACTBL2,,
PSMC4,,PDIA4,PSMB6,GSTK1,HBA,,
PSMC5,,PDIA5,PSMB7,GSTP1,ENSECAG00000034000,,
PSMC6,,PDIA6,Psmc1,GSTT2B,RPL36A-HNRNPH2,,
PSMD1,,PEBP1,PSMC2,GSTZ1,MAN2C1,,
PSMD11,,pelp1,Psmc3,GTF2B,MVP,,
PSMD12,,PFKL,PSMC4,GTF2E1,HMGB2,,
PSMD13,,PFKM,PSMC5,GTF2E2,PDCD6IP,,
PSMD14,,PFN1,Psmc6,GTF2F2,ENSECAG00000008979,,
PSMD2,,PFN2,PSMD1,GTPBP1,EIF4A3,,
PSMD3,,PGAM1,PSMD11,GUCY1A1,MOB1B,,
PSMD4,,PGAM2,PSMD12,GUCY1B1,HARS1,,
PSMD6,,PGAM5,PSMD13,GUK1,PABPC4,,
PSMD7,,PGD,Psmd14,GUSB,GNA12,,
PSMD8,,PGK1,PSMD2,GYG1,NRBP1,,
PSME1,,PGRMC2,Psmd3,HABP2,WASF2,,
PSME2,,,PSMD4,HACE1,ARF4,,
PSME4,,,PSMD6,HADH,KYAT3,,
PSPH,,,Psmd7,HADHA,CUL1,,
PTBP1,,,PSMD8,HADHB,PHKG2,,
PTGES3,,,PSME1,HAGH,OGA,,
PTK2,,,PSME2,HAGHL,BPNT1,,
PTK2B,,,PSME4,HARS1,PDCD6IP,,
PTK7,,,Psph,HAT1,FHL1,,
PTPN11,,,Ptbp1,HCLS1,RAC1,,
PTPN13,,,PTEN,HDAC1,WDR77,,
PTPN23,,,Ptges3,HDAC10,CPNE3,,
PTPN6,,,Ptgfrn,HDAC2,CEP162,,
PTPRF,,,Ptk2,HDAC6,PRUNE1,,
PTPRJ,,,PTK2B,HDDC2,A2M,,
PURA,,,PTK7,HDDC3,MUC1,,
PWP1,,,PTPN11,HDGFL2,DLGAP4,,
PYGB,,,PTPN13,HDHD2,CHMP1A,,
PYGL,,,Ptpn23,HDHD5,PTBP1,,
QDPR,,,PTPN6,HDLBP,ENSECAG00000038550,,
QSOX1,,,Ptprf,HEATR3,FAU,,
RAB10,,,Ptprj,HEATR5A,IPO9,,
RAB11B,,,PTPRS,HEATR5B,GCN1,,
RAB13,,,PTRF,HEATR6,AGT,,
RAB14,,,Pura,HEBP1,PLCD1,,
RAB18,,,PWP1,HEBP2,,,
RAB1A,,,PXK,HECTD1,,,
RAB1B,,,PYCRL,HECTD4,,,
RAB21,,,Pygb,HECW2,,,
RAB23,,,PYGL,HERC4,,,
RAB27B,,,QARS,HEXB,,,
RAB2A,,,Qdpr,HEXIM1,,,
RAB2B,,,Qsox1,HGS,,,
RAB34,,,Rab10,HIBADH,,,
RAB35,,,RAB11B,HIBCH,,,
RAB3A,,,RAB13,HID1,,,
RAB3GAP1,,,Rab14,HINT1,,,
RAB4B,,,RAB18,HIP1,,,
RAB5A,,,Rab1A,HIP1R,,,
RAB5B,,,RAB1B,HK1,,,
RAB5C,,,RAB21,HLCS,,,
RAB6A,,,RAB22A,HM13,,,
RAB7A,,,RAB23,HMBS,,,
RAB8A,,,Rab27a,HMGB1,,,
RAB8B,,,RAB27B,HMGB3,,,
RABEP1,,,RAB2A,HMGCS1,,,
RABGAP1,,,RAB2B,HMGN2,,,
RABGEF1,,,RAB34,HMOX2,,,
RABGGTA,,,Rab35,HNMT,,,
RAC1,,,Rab3a,HNRNPA0,,,
RAD50,,,RAB3GAP1,HNRNPA1,,,
RAE1,,,Rab4b,HNRNPA2B1,,,
RAI14,,,RAB5A,HNRNPA3,,,
RALA,,,Rab5b,HNRNPAB,,,
RALGAPA2,,,Rab5c,HNRNPC.1,,,
RALGAPB,,,Rab6a,HNRNPH3,,,
RAN,,,Rab7a,HNRNPK,,,
RANBP10,,,RAB8A,HNRNPL,,,
RANBP9,,,Rab8b,HNRNPLL,,,
RAP1A,,,RABEP1,HNRNPM,,,
RAP1B,,,RABGAP1,HNRNPR.1,,,
RAP1GAP,,,Rabgef1,HNRNPUL1,,,
RAP2B,,,Rabggta,HNRNPUL2,,,
RAP2C,,,Rabl2,HOOK1,,,
RARRES1,,,Rac1,HOOK2,,,
RBBP7,,,RAD50,HOOK3,,,
RBM47,,,Rae1,HP1BP3,,,
RBP1,,,RAI14,HPCAL1,,,
RDX,,,Rala,HPRT1,,,
RELA,,,Ralgapa2,HPX,,,
REPS1,,,RALGAPB,HS1BP3,,,
REXO2,,,ran,HSD17B10,,,
RHOA,,,RANBP10,HSD17B11,,,
RHOC,,,RANBP9,HSD17B12,,,
RHOG,,,Rap1a,HSD17B4,,,
RICTOR,,,Rap1b,HSDL2,,,
RNF31,,,RAP1GAP,HSP90AA1,,,
RNH1,,,Rap1gap2,HSP90AB1,,,
RNPEP,,,Rap2a,HSPA12A,,,
ROCK1,,,Rap2b,HSPA12B,,,
ROCK2,,,RAP2C,HSPA14,,,
ROPN1L,,,Rapgef3,HSPA2,,,
RPAP3,,,RASA3,HSPA4,,,
RPL10,,,Rbbp7,HSPA4L,,,
RPL10A,,,RBM47,HSPA5,,,
RPL11,,,Rbp1,HSPA8,,,
RPL12,,,Rbx1,HSPA9,,,
RPL13,,,RDX,HSPB1,,,
RPL13A,,,RELA,HSPB7,,,
RPL14,,,Reps1,HSPBP1,,,
RPL17,,,Rer1,HSPD1,,,
RPL18,,,Rexo2,HSPG2,,,
RPL18A,,,Rhoa,HTATIP2,,,
RPL19,,,Rhoc,HUWE1,,,
RPL21,,,Rhog,HYKK,,,
RPL23,,,RIBC2,HYOU1.1,,,
RPL24,,,RICTOR,IAH1,,,
RPL27,,,RIT1,IARS1,,,
RPL27A,,,RMND5A,IARS2,,,
RPL28,,,RNF213,ICA1,,,
RPL3,,,RNF31,ICAM1,,,
RPL30,,,RNPEP,IDE,,,
RPL36,,,ROCK1,IDE.1,,,
RPL4,,,ROCK2,IDH1,,,
RPL5,,,ROGDI,IDH2,,,
RPL6,,,RPAP3,IDH3A,,,
RPL7A,,,Rpl10,IFI30,,,
RPL8,,,Rpl10a,IFIH1,,,
RPLP0,,,Rpl11,IFRD2,,,
RPS11,,,Rpl12,IFT122,,,
RPS13,,,Rpl13,IFT140,,,
RPS14,,,RPL13A,IFT172,,,
RPS15,,,RPL14,IFT46,,,
RPS15A,,,Rpl15,IGBP1,,,
RPS16,,,Rpl17,IGF2BP2,,,
RPS17,,,RPL18,IGF2R,,,
RPS18,,,RPL18A,IGFALS,,,
RPS2,,,RPL21,IGFBP3,,,
RPS20,,,Rpl23,IKBKB,,,
RPS23,,,rpl24,IKBKG,,,
RPS27A,,,Rpl27,IL18,,,
RPS3,,,RPL27A,ILF3,,,
RPS3A,,,RPL28,ILK,,,
RPS5,,,RPL3,ILVBL,,,
RPS6,,,Rpl30,IMMT,,,
RPS6KA1,,,Rpl32,IMPA1,,,
RPS6KA3,,,RPL36,IMPDH1,,,
RPS7,,,Rpl4,IMPDH2,,,
RPS8,,,Rpl5,INPP1,,,
RPS9,,,RPL6,INPP5B,,,
RPSA,,,RPL7,INPPL1,,,
RPTOR,,,Rpl7a,IPO11,,,
RRAS,,,Rpl8,IPO13,,,
RRAS2,,,RPL9,IPO5,,,
RRM1,,,Rps11,IPO7,,,
RSPH3,,,Rps13,IPO8,,,
RSPH4A,,,Rps14,IPO9,,,
RSU1,,,Rps15,IQGAP1,,,
RTCA,,,Rps15a,IQGAP2,,,
RTCB,,,Rps16,IQSEC1,,,
RTN4,,,Rps17,IRF6,,,
RUFY1,,,rps18,ISLR,,,
RUFY3,,,Rps2,ISOC1,,,
RUVBL1,,,Rps20,IST1,,,
RUVBL2,,,Rps23,ITGA2,,,
S100A10,,,Rps27,ITGA3,,,
S100A11,,,RPS27A,ITGA6,,,
S100A14,,,Rps3,ITGB1,,,
S100A16,,,RPS3A,ITGB3,,,
S100A4,,,Rps4x,ITGB4,,,
SAR1A,,,RPS5,ITIH2,,,
SBDS,,,Rps6,ITIH3,,,
SCAMP1,,,RPS6KA1,ITPKC,,,
SCAMP2,,,RPS6KA3,IVNS1ABP,,,
SCAMP3,,,Rps7,IWS1,,,
SCFD1,,,Rps8,JCHAIN,,,
SCIN,,,Rps9,JMJD1C,,,
SDCBP,,,RPTOR,JMJD6,,,
SEC13,,,Rraga,JUP,,,
SEC14L3,,,RRAS,KANK2,,,
SEC22B,,,Rras2,KANK4,,,
SEC23A,,,Rrm1,KARS1,,,
SEC23IP,,,RSPH3,KCMF1,,,
SEC24A,,,Rsph6a,KCTD12,,,
SEC24B,,,Rspry1,KCTD14,,,
SEC24C,,,RSU1,KCTD21,,,
SEC24D,,,RTCA,KDELR2,,,
SEC31A,,,RTCB,KHDRBS1,,,
SELENBP1,,,Rtn3,KHSRP,,,
SERBP1,,,Rtn4,KIAA0556,,,
SERPINH1,,,RUFY1,KIAA1217.1,,,
SF3B1,,,RUFY3,KIAA1324,,,
SF3B3,,,RUVBL1,KIAA2013,,,
SH3BGRL2,,,RUVBL2,KIF13B,,,
SH3BP4,,,S100A10,KIF21A,,,
SH3GL1,,,S100A9,KIF27,,,
SH3PXD2B,,,Sacm1l,KIF2A,,,
SKIV2L,,,SAR1A,KIF3A,,,
SLC29A1,,,Sars,KIF3B,,,
SLC31A1,,,SBDS,KIF5B,,,
SLC44A1,,,SBF1,KIFAP3,,,
SLC44A4,,,SBF2,KLC1,,,
SLC5A1,,,SBSN,KLC2,,,
SLC6A8,,,Scamp1,KLC4,,,
SLC9A3R1,,,SCAMP2,KLHDC4,,,
SMAD4,,,SCAMP3,KLKB1,,,
SMC1A,,,SCFD1,KNG1,,,
SMC2,,,SCIN,KPNA1,,,
SMC3,,,SDCBP,KPNA3,,,
SMC4,,,Sdha,KPNA4,,,
SMG1,,,SDPR,KPNA6,,,
SMS,,,Sec11a,KPNB1,,,
SNAP23,,,Sec13,KRAS,,,
SND1,,,Sec22b,KRT18,,,
SNRNP200,,,Sec23a,KRT19,,,
SNRPD2,,,SEC23IP,KRT7,,,
SNRPD3,,,Sec24a,KRT8,,,
SNX1,,,SEC24B,KTN1,,,
SNX2,,,SEC24C,KYAT1,,,
SNX27,,,SEC24D,L3HYPDH,,,
SNX5,,,SEC31A,LAMB1,,,
SNX6,,,Sec61a1,LAMC3,,,
SNX9,,,SEC63,LAMP1,,,
SORT1,,,SEH1L,LAMTOR1,,,
SPAG1,,,SEL1L,LAMTOR3,,,
SPAG6,,,Selenbp1,LANCL1,,,
