BOVINE OF,FELINE OEV,PORCINE OEV,DUNNART OF,EQUINE OF,CANINE OEV,SHEEP OF,RABBIT OF,HUMAN OF
CDC42BPB,CE3H16orf89,CDC23,APOB,ATP6V1B2,SDHA,K2C5,LOC100357214,ANXA4
CDC42BPG,CEACAM1,CDC37,APOBEC2,HDGF,RSU1,ENOA,LOC100357214,ANXA5
CDH1,CECR2,Cdc42,APOE,TWF1,,HS90A,LOC100357230,ANXA6
CDK1,cenpv,CDC42BPA,APOH,EIF5A ,HNRNPK,1433G,LOC100357474,ANXA7
CDK5RAP3,CEP128,CDC42BPB,APOO,ENSECAG00000024946,IRS2,IQGA2,LOC100357567,ANXA8L1
CEMIP,CEP131,CDC42BPG,APPL1,ARPC4,ACTR1A,ALBU,LOC100357885,AOC1
CETN2,CEP135,CDH13,APRT,IARS1,,KAD1,LOC100357917,AOC3
CFAP20,CEP55,CDHR3,ARAP1,KYAT1,ALYREF,RL40,LOC100358221,AOX1
CFAP52,CEP57L1,Cdk1,ARCN1,PSMC3,ARHGDIA,TCPD,LOC100358241,AP1B1
CFAP57,cetn2,CELF1,ARF1,QARS1,DPM3,RL7A,LOC100358868,AP1G1
CFAP70,CFAP45,CEMIP,ARF4,RPL13,P4HB,IMB1,LOC100359245,AP1G2
CFL1,CFAP52,CEP112,ARF6,DCTN2,SKP1,EF1D,LOC103345435,AP1M1
CFL2,CFAP53,Cetn2,ARFGAP3,SCRN2,HDGF,RS8,LOC103345647,AP1M2
CGN,cfap57,cfap20,ARFGEF1,PPP2CB,MAP1B,AATC,LOC103346759,AP1S1
CHID1,CFAP58,CFAP52,ARFGEF3,KARS1,PSAT1,AN32A,LOC103347758,AP2A1
CHMP4B,CFAP70,CFAP57,ARFIP1,PREP,,OSTP,LOC103347904,AP2A2
CHMP5,cfap73,CFAP58,ARFIP2,SUOX,MYDGF,MIPT3,LOC103349932,AP2B1
CHORDC1,CFL1,CFAP69,ARG1,HIF3A,CLIC4,RET4,LOC103350776,AP2M1
CIAO1,CFL2,CFAP70,ARHGAP1,YWHAG,ACAT1,CBR1,LOXL2,AP2S1
CIB1,CGN,CFL1,ARHGAP17,COPS2,KRT75,LV102,LRRC51,AP3B1
CKAP4,CHCHD3,CFTR,ARHGAP27,RPL5,,RL7,LRRN4,AP3D1
CKAP5,CHCHD6,Cgn,ARHGAP6,PPID,GDI2,DHDH,LTF,AP3M1
CKB,CHD3,CHMP4B,ARHGDIA,FTH1,PVR,PSA3,LUM,AP3S1
CKM,CHD4,CHMP5,ARHGDIB,RPS19,SEPT2,RL11,LZTFL1,AP4S1
CLIC1,CHD5,CHMP6,ARHGDIG,MYL6,KRT18,S14L3,MAN1A1,AP5S1
CLIC2,CHID1,CHORDC1,ARHGEF1,PSMC5,PGRMC2,CYBP,MANF,AP5Z1
CLIC4,CHTOP,Cisd2,ARHGEF10L,CMPK1,LOC607817,PSA4,MAP4,APAF1
CLIC5,CIAO1,CKAP4,ARHGEF12,MYO6,PCBP2,ANGT,MAP4,APBB1IP
CLINT1,CIB1,CKAP5,ARHGEF17,LRBA,EEF1D,RL6,MCM3AP,APBB2
CLIP1,CISD1,CKB,ARHGEF28,IMPA1,,RLA0L,MDH1,APCS
CLTA,CKAP4,CLIC1,ARHGEF7,TPM3,,PTGR1,MIF,APEH
CLTC,CKB,CLIC4,ARIH1,DDB1,SPCS2,DX39B,MMRN2,APEX1
CLU,CKM,CLIC5,ARIH2,PSMB6,SCP2,GSTO1,MPST,APH1A
CLUAP1,CKMT1B,CLINT1,ARL2,PSMD13,PAFAH1B3,UBE2N,MSN,API5
CMBL,CKMT2,CLIP1,ARL6IP5,CFB,,PDIA3,MTPN,APIP
CMPK1,CLEC16A,CLPTM1L,ARL8A,PRDX2,P4HA1,ITIH4,MYH11,APLP2
CNDP2,CLIC1,CLTC,ARL8B,BLMH,LSM6,PSA1,MYH6,APMAP
CNOT1,CLIC2,Cluap1,ARMC1,NUDT2,HK1,CAZA1,MYL9,APOA1
CNOT2,CLIC4,Cmip,ARMC3,PSMB2,FKBP10,RS4X,MYLK,APOA2
CNOT3,CLIC5,Cmpk1,ARMC3.1,AHSA1,CRIP2,CRIP2,MYO5C,APOA4
CNOT7,CLINT1,Cndp2,ARMC6,RIDA,KRT1,PSB4,MYO7A,APOB
CNP,CLIP4,CNOT1,ARMC8,MYL12A,SH3BGRL3,APEX1,NANS,APOC1
CNPY2,CLTC,CNOT2,ARMC9,SNX2,QSOX1,PSMD5,NEDD8,APOC2
CNPY3,CLTCL1,CNOT3,ARPC1A,RBKS,,TCPA,NENF,APOC3
COG1,CLU,CNOT6L,ARPC1B,TLN1,HNRNPU,CAN1,NGF,APOD
COG2,CLUAP1,CNOT7,ARPC2,MPST,PSMB6,TCPG,NIT1,APOE
COG3,Cmah,COG1,ARPC3,YWHAH,RAB7A,PSA5,NME2,APOF
COG8,CMBL,COG2,ARPC4,FGA,LOC100856765,RS11,NPC2,APOH
COL12A1,CNN1,COG3,ARPC5,PSMB4,DNAJB11,ITIH2,NPY,APOL1
COL14A1,CNN3,COG8,ARPC5L,FCSK,RPL24,RL27,NRXN1,APOL2
COL15A1,CNP,COL12A1,ARPIN,RPL23,RHOA,TEBP,NSFL1C,APOM
COL6A1,CNPY2,COL14A1,ARRB1.2,ANXA3,RPS9,RL19,NUCKS1,APOO
COMMD2,CNPY3,COL15A1,ARRB2,COPS4,RPS25,WDR1,NUDC,APOOL
COMMD4,COL14A1,COL17A1,ARSB,RAD23B,LYPLA1,INO1,OGN,APP
COMT,COL18A1,COL1A2,ASCC3,PLS3,CAPZB,ROA2,OLFML3,APPL1
COPA,COL1A1,Col4a1,ASH2L,EIF4B,SPTB,TRY1,ORM1,APPL2
COPB1,COL4A2,Col6a1,ASMTL,CDC42 ,RPL17,RS20,OVGP1,APRT
COPB2,COL4A4,COMMD4,ASNS,TTLL12,TPM2,TPPP3,PAFAH1B2,ARAF
COPE,COMMD2,COMT,ASPSCR1,USP5,EIF3H,RL30,PAFAH1B3,ARAP1
COPG1,COMMD4,COPA,ASRGL1,DCPS,PTRH2,HEMO,PAICS,ARCN1
COPG2,COPA,COPB1,ATAD3A,FABP3,TCP1,RS18,PARK7,ARF3
COPS2,COPB1,Copb2,ATE1,PMM2,NUDT21,PHS,PCP4,ARF4
COPS3,COPB2,COPE,ATG2A,DPP4,FNDC1,RS25,PDCD5,ARF5
COPS4,COPE,COPG1,ATG3,ACAT2,EEF1G,RL12,PDI,ARF6
COPS5,COPG1,COPG2,ATG4B,PNPO,GSE1,PSA7,PDIA3,ARFGAP1
COPS6,COPG2,COPS3,ATG5,PSMB5,STK17B,THRB,PDIA4,ARFGAP2
COPS7A,COPS2,COPS4,ATG7,PSMB1,,RS5,PDIA5,ARFGAP3
COPZ1,COPS3,COPS5,ATIC,PHYHD1,RAC1,FKBP4,PDIA6,ARFGEF1
CORO1B,COPS4,Cops6,ATL2,LASP1,CNN1,K1M1,PEA15,ARFIP1
CORO1C,COPS7A,COPS7A,ATL3,ANXA6,COL3A1,PCBP1,PEBP1,ARFIP2
COTL1,COPZ1,Copz1,ATOX1,VAT1,PSPH,ENOA,PFDN2,ARG1
CPD,CORO1B,Coro1b,ATP1A1,ARF3,HYOU1,1433B,PFN2,ARG2
CPNE1,CORO1C,COTL1,ATP1B1,ASRGL1,PDIA6,CAH1,PGAM1,ARGLU1
CPNE3,COTL1,cpb-3,ATP1B3,ALDOB,PRPF19,OVGP1,PGD,ARHGAP1
CPPED1,CPD,Cpd,ATP2A2,SKP1,PPP2CB,TXNL1,PGER4,ARHGAP10
CPSF7,CPNE3,Cpne1,ATP2B1,FGB,TPT1,GBLP,PGER5,ARHGAP17
CRB2,CPPED1,CPT1C,ATP5F1A,HYI,1,KCRB,PGER6,ARHGAP18
CRBN,CPSF7,CPXM2,ATP5F1B,ADIRF,CNPY2,RL9,PGER8,ARHGAP21
CRELD2,CPT1A,CRB2,ATP5F1C,DDAH1,SSR1,GDIR1,PGK1,ARHGAP25
CRIP2,cpt2,CRBN,ATP5F1D,RPL8,ARL17A,HSPB1,PGLYRP1,ARHGAP26
CRK,CRELD2,Creld1,ATP5MF,GSTP1,CAPZA1,ALBU,PHGDH,ARHGAP35
CROCC,CRIP2,Crip2,ATP5MG,RPS15A,UGDH,F10A1,PI16,ARHGAP4
CRYAB,CRMP1,Crk,ATP5PB,PSMC1,ANXA6,HBA1,PIGR,ARHGAP5
CRYZ,CROCC,CSDE1,ATP5PD,COPS5,CISD2,RS3A,PIGR,ARHGAP6
CSDE1,CRYAB,Cse1l,ATP5PO,RPL3,KARS,TBB5,PKM,ARHGDIA
CSE1L,CRYZ,CSK,ATP6V0A1,PCMT1,GNB2,EF1G,PLAT,ARHGDIB
CSK,CS,csn2,ATP6V0C,RPS18,AHNAK,ABHEB,PLBD1,ARHGEF1
CSN2,CSE1L,CSNK1G3,ATP6V0D1,RPL4,SHMT2,MYH9,PLCB4,ARHGEF10
CSNK2A1,CSNK2A1,Csnk2a1,ATP6V1A,RENBP,PDLIM3,TAGL2,PLD3,ARHGEF11
CSNK2A2,CSNK2B,CSNK2A2,ATP6V1B2,PEPD,PDE1B,GSTP1,PLG,ARHGEF12
CSNK2B,CSTF2,Csrp1,ATP6V1C1,NAXD,MTHFD1,FETUA,PNP,ARHGEF17
CSRP1,CSTF2T,CTDSP1,ATP6V1D,BLVRA,PSMC1,SAHH,PON1,ARHGEF2
CSTF2,CTBP1,Ctnnb1,ATP6V1E1,PSMA5,RPS20,GDIB,PPA1,ARHGEF25
CSTF2T,CTBP2,CTNND1,ATP6V1F,CUTA,LOC609886,PSMD2,PPIA,ARHGEF40
CTBP1,CTNNA1,Ctps1,ATP6V1G1,YARS1,SEC23B,RS13,PPIB,ARHGEF5
CTBP2,CTNNA2,Cttn,ATP6V1H,GBP5,SPR,IF4A2,PPID,ARHGEF6
CTNNA1,CTNNB1,Cul1,ATRX,AHSG,RHOU,XPP1,PRDX1,ARHGEF7
CTNNA2,CTNND1,CUL2,ATXN2L,FH,EPB41L3,PEBP1,PRDX4,ARID1A
CTNNB1,CTSB,CUL3,ATXN3,APEH,SFPQ,CAPZB,PRDX6,ARID2
CTNND1,CTSD,CUL4B,AUH,PAFAH1B1,RPL10A,ARF4,PRELP,ARID3A
CTPS1,CUL1,CUL5,AVL9,RPL6,CYB5R3,SND1,PROM1,ARID3B
CTSB,CWC25,CYB5R3,B4GALT1,OXSR1,NRAS,CAH2,PSAP,ARID4B
CTSD,CYFIP1,CYFIP1,BABAM1,RPL31,CHCHD3,KPYM,PSMB6,ARIH1
CTTN,cyfip2,Cyfip2,BABAM2,EIF4A2,TPI1,PRDX1,PSMD11,ARL1
CUL1,DARS,CYP20A1,BAD,RPLP2,TUBB4B,ILEU,PTER,ARL15
CUL2,DBT,CYP51A1,BAG3,PDXK,,B2MG,PTGR2,ARL2
CUL3,DCAKD,CYTH2,BAG5,ABHD14B,PRDX6,DDAH2,PYROXD2,ARL3
CUL4B,DCN,Daam1,BAG6,HNRNPU,HSP90AB1,DHPR,PZP,ARL6IP1
CUL5,DCTN1,Dad1,BAIAP2,ATP6V1A,MSN,CO4,QDPR,ARL6IP4
CYB5R3,DCTN2,DAPK2,BAIAP2L1,GNPDA2,U2AF2,PSME1,QSOX1,ARL6IP5
CYFIP1,DCTN4,DARS,BANF1,SIDT2,PDCD6IP,SBP1,RAD23B,ARL6IP6
CYFIP2,DCXR,DCAF11,BASP1,PSMC4,PSMA7,TGM2,RBP1,ARL8A
CYTH2,DDB1,Dcaf7,BAX,PTPA,NQO2,TPIS,RBP4,ARL8B
DAPK2,DDOST,Dcaf8,BBS1,NUTF2,MT-CO2,AL9A1,RCN1,ARMC1
DCAF11,DDX1,Dcakd,BBS2,DDAH2,YBX3,K22E,RIDA,ARMC10
DCAF7,DDX17,Dcdc2,BBS5,RPL30,S100A10,NTF2,RPL31,ARMC8
DCAF8,DDX39B,DCLK1,BBS7,TPPP,UBE2K,1433G,RPS12,ARMC9
DCDC2,DDX3X,DCTN1,BBS9,RPL18,PA2G4,TAGL,RPS25,ARMCX2
DCN,DDX5,DCTN2,BCAM,RPL10,RPLP2,CH3L1,RSU1,ARMCX3
DCTN1,DDX6,Dcun1d1,BCAT2,IMPDH2,TUBB6,1433E,S100A11,ARMT1
DCTN2,DES,Ddah2,BCCIP,CETN2,RPL18,COPB2,S100A12,ARPC1A
DCTN4,DGKA,DDB1,BCKDHB,KRT10A,RPL19,IAH1,S100A6,ARPC1B
DCUN1D1,DGKE,ddost,BCL10,RPS13,NIPSNAP2,MYH14,S100A8,ARPC2
DCXR,DHRS7,Ddx17,BCL2L1,UBE2V1,COL1A1,TERA,S100A9,ARPC3
DDAH2,DHX15,DDX19A,BCLAF1,UFD1,HIST1H1C,1433Z,SAA3,ARPC4
DDB1,DHX9,Ddx39b,BICD2,SBDS,UCHL1,GSTM1,SCG3,ARPC5
DDX1,DIAPH1,Ddx3x,BIN1,VCAN,CCT8,HSP74,SCGB1A1,ARPC5L
DDX17,DKC1,Ddx6,BIN2,RAP1B,RAB11B,HMGB1,SDF2L1,ARPIN
DDX19A,DLD,Defa-rs12,BIRC6,HPX,GPX8,RAC1,SELENBP1,ARPP19
DDX39B,DLG1,Denr,BLMH,GNAS,EZR,PSA6,SELM,ARRB1
DDX3X,DLST,DGKZ,BLVRA,TUBB,FKBP4,SPB5,SERPINA3,ARRB2
DDX5,DNAH1,DHRS11,BLVRB,RPL18A,,COPA,SERPINA5,ARSA
DDX6,DNAH12,DHX30,BOLA1,TUBB4B,CCT5,MDHC,SERPINA6,ARSB
DENR,DNAH17,DHX9,BPGM,APEX1,CDC42,ANXA8,SERPINB1,ARSD
DES,DNAH2,DIAPH1,BPHL,PTGR1,PRDX2,GALM,SERPINB5,ASAH1
DGKB,DNAH3,DIAPH2,BPNT1,PSMB9,LOC102153759,CLUS,SERPINB9,ASCC1
DGKZ,DNAH5,dicer1,BRAF,LGALS3BP,YWHAB,ACTN4,SERPINC1,ASCC2
DHRS11,DNAH6,DIP2B,BRAT1,RPS25,VAT1,ESTD,SERPIND1,ASCC3
DHX15,DNAH9,DLEC1,BRCC3,ENSECAG00000024343,LOC606772,CLIC1,SERPINF1,ASH2L
DHX30,DNAI1,Dlg1,BROX,DHDH,ATP5F1D,ANXA1,SERPINF2,ASL
DHX9,DNAI2,DLG3,BTF3L4,IPO7,AK9,COF1,SERPING1,ASMTL
DIAPH1,DNAJA1,DLGAP4,BUB3,PI4KA,ITGB1,AK1A1,SFN,ASNS
DIAPH2,DNAJA2,DLST,BUD31,RAB7A,PGAM1,PRDX6,SH3BGRL,ASPH
DIP2B,DNAJA4,DMBT1,BZW1,RPL32,EIF3K,CAND1,SH3BGRL3,ASPM
DLG1,DNAJB1,Dmxl1,BZW2,ENSECAG00000039673,TAGLN,PEDF,SHBG,ASPN
DLG3,DNAJB11,Dmxl2,C1H5orf22,HRG,PDLIM5,CSRP1,SHPK,ASPSCR1
DLGAP4,DNAJB13,DNAAF1,C1H8orf37,MLLT6,LONRF1,FABP5,SLC9A3R1,ASRGL1
DMXL1,DNAJB3,DNAH1,C1H9orf64,RPS6,SERPINA7,AL1A1,SMOC1,ASS1
DNAAF1,DNAJB6,DNAH10,C1QBP,CTPS2,MYL6B,GELS,SNCG,ATAD1
DNAH1,DNAJC3,DNAH11,C1RL,ALPL,PABPC1,ALDOA,SOD1,ATAD3A
DNAH10,DNM1,DNAH12,C1S,SERPINB5,PARK7,ACTC,SOD3,ATAD3B
DNAH11,DNM2,DNAH2,C2CD5,OTUB1,DLST,HS90B,SPARCL1,ATG101
DNAH12,DNM3,DNAH3,C2H20orf27,DNPH1,RAB10,HPRT,SPINK9,ATG12
DNAH17,DNPEP,DNAH5,C3,UBB,CCT6A,EF2,SRI,ATG16L1
DNAH3,DPCD,DNAH6,C3H11orf54,DNAH5,,HBBN,SSB,ATG2A
DNAH5,DPP7,DNAH7,C3H1orf174,RPL35,RPL28,ACOC,ST13,ATG3
DNAH6,DPYSL2,DNAH9,C4BPA,EPPK1,PHYHIPL,IQGA2,ST6GAL1,ATG4A
DNAH7,DPYSL3,DNAI2,C4H1orf87,XPO1,LOC475937,RUVB1,STIP1,ATG5
DNAI1,DSC2,DNAJA1,C4H6orf132,RPS16,CANX,K1C10,SUMO2,ATG7
DNAI2,DSEL,Dnaja2,C5,NACA,COL5A1,GFPT1,SZT2,ATG9A
DNAJA1,DSG1,DNAJA4,C5H12orf10,DIAPH1,GSTP1,PLSI,TAGLN,ATIC
DNAJA2,DSG2,Dnajb1,C6,VBP1,C1QTNF3,6PGL,TAGLN2,ATL2
DNAJA4,DSP,DNAJB11,C7,LARS1,CALD1,TALDO,TF,ATL3
DNAJB1,DSTN,Dnajb13,C9,RPL7,HPRT1,LDHA,TFG,ATM
DNAJB11,dydc2,DNAJB6,CA3,USP14,RPL18A,RL18A,TKT,ATOX1
DNAJB13,DYNC1H1,DNAJC10,CA8,ENSECAG00000038332,RPS27A,RS19,TMSB10,ATP11B
DNAJB6,DYNC1I2,DNAJC13,CAB39,ALDH3B1,GPI,HS74L,tnx,ATP13A1
DNAJC10,DYNC2H1,DNAJC2,CAB39L,PFN2,TMED10,K2C5,TPI1,ATP13A3
DNAJC13,DYNLL1,DNAJC7,CACNA2D1,SEPT2,PYCR1,TRFL,TPM1,ATP1A1
DNAJC2,DYNLRB1,DNAL1,CACYBP,RAB5C,LDHA,S10AB,TPM1,ATP1B1
DNAJC3,DYNLRB2,Dnali1,CAD,SYNCRIP,SF3B6,K1C18,TPM1,ATP1B3
DNAJC7,EBNA1BP2,Dnm1l,CADM1,PSMC2,ATP5F1A,EZRI,TPM1,ATP2A2
DNAL1,ECH1,DOCK1,CALD1.1,RDX,SRSF7,LASP1,TPM3,ATP2B1
DNALI1,ECHS1,DOCK6,CALM3,TSN,EIF5A,ARP2,TPM4,ATP2B4
DNM1L,ECI1,DOCK7,CALR,PLTP,ECHS1,APOA1,TPPP3,ATP5F1A
DNM2,EEA1,DOCK9,CALU,LANCL1,CS,CRYM,TRPV4,ATP5F1B
DNM3,EEF1A2,Dopey1,CAMK1,DPCD,HSP90AA1,RL24,TTN,ATP5F1C
DNPEP,EEF1B2,DOPEY2,CAMK2G,RBM12,SEC23A,DEST,TTR,ATP5F1D
DOCK1,EEF1D,DPCD,CAND2,NUDT5,ARFGAP3,SYTC,TUBA1A,ATP5F1EP2
DOCK7,EEF1G,DPM1,CANX,GPX2,ANXA4,VTDB,TUBB,ATP5IF1
DOCK9,EEF2,Dpp6,CAP1,OLA1,RPS4X,RS3,TUBB4A,ATP5ME
DPCD,EFHC1,DPP8,CAP2,CUL3,RPL8,RAN,TXNDC12,ATP5MF
DPP8,EFHC2,Dpyd,CAPG,KIF5B,RPS3A,ARPC4,TXNDC17,ATP5MG
DPYD,EFHD2,DRC1,CAPN1,PSMB7,VCL,ROA1,TXNDC5,ATP5MK
DPYSL2,EFTUD2,DRG1,CAPN2,CMBL,ACTN4,EF1A1,UBA1,ATP5PB
DPYSL3,EHD1,DRG2,CAPN5,RSPH4A,LOC475916,ARPC3,UGGT1,ATP5PD
DRC1,EHD2,DSC1,CAPNS1,ENSECAG00000041817,NDUFB3,A1BG,VCAN,ATP5PF
DRG1,EHD3,DSCR3,CAPRIN1,EIF3A,TMX1,AL1A2,VCL,ATP5PO
DRG2,EIF2B5,DSG1,CAPZA1,MDH2,FCHSD1,PROF1,VCP,ATP6AP1
DSC2,EIF2S1,DSP,CAPZB,GMPPB,TMED9,K2C8,VIM,ATP6AP2
DSG2,EIF2S3,DSTN,CARM1,CAPZA2,HNRNPH3,HS90A,VTN,ATP6V0A1
DSP,EIF3D,DYNC1H1,CARMIL1,PLIN3,ARPC5,GMPPB,WDR1,ATP6V0A2
DSTN,EIF3E,Dync1i2,CARS1,FKBP3,RRBP1,CAYP1,WFDC2,ATP6V0D1
DYNC1H1,EIF3H,Dync1li1,CASC1,ENSECAG00000010622,RPS27,FIBG,YWHAB,ATP6V1A
DYNC1I2,EIF3I,DYNC1LI2,CASP3,PSAT1,KRT78,1433T,YWHAE,ATP6V1B2
DYNC1LI1,EIF3L,DYNC2H1,CASP7,NIT2,PGRMC1,ADHX,YWHAG,ATP6V1C1
DYNC1LI2,EIF4A1,Dynll1,CASP9,SRM,CKB,K1C19,YWHAH,ATP6V1D
DYNLL1,EIF4A2,Dynlrb2,CAST,RNH1,GSTM3,HVM47,YWHAQ,ATP6V1E1
DYNLRB1,EIF4A3,Dynlt1,CAT,RBP5,ADSS,ACTB,YWHAZ,ATP6V1F
DYNLRB2,EIF5A,dyrk1a,CAV3,HINT1,CAPN2,APOA4,,ATP6V1G1
DYNLT1,EIF5A2,Ece1,CAVIN1,RPS8,RPL27A,CFDP2,,ATP6V1H
DYRK1A,ELAVL1,ECM29,CAVIN2,CSRP1,PEX5,PARK7,,ATP7B
EDC4,EMD,EDC4,CAVIN3,TBCD,PSMB5,MIF,,ATP9B
EEA1,EMP1,EEA1,CBFB,HNRNPDL,LOC100856638,K1C9,,ATPAF2
EEF1A1,ENDOD1,EEF1A1,CBL,MEAK7,CDC37,THIO,,ATRAID
EEF1A2,ENKUR,EEF1E1,CBS,PSMD7,ATP5PB,SPSY,,ATRN
EEF1D,ENO1,EEF2,CBWD1,GPS1,CYC1,PRDX5,,ATRX
EEF1E1,ENO3,EEPD1,CBX3,TXNL1,KRTCAP2,RB11A,,ATXN1
EEF1G,ENPP3,EFCAB7,CBX5,ENSECAG00000002541,DCLK1,SYQ,,ATXN10
EEF2,EPB41,Efhc1,CC2D1A,ACP1,LOC609770,TCPB,,ATXN2
EFCAB7,EPCAM,EFR3A,CC2D2A,MIF,ISOC2,HS105,,ATXN2L
EFHD2,EPHX1,EFR3B,CCAR1,EEF1D,PSMA3,HBA,,ATXN3
EFR3A,EPHX2,Eftud2,CCAR2,PFDN5,ANXA1,QOR,,AUH
EFTUD2,EPRS,EHD1,CCDC103,ENSECAG00000020699,PPP1R14B,GSTM5,,AUP1
EHD1,EPS8L1,EHD2,CCDC186,TXNDC17,RPL14,PGAM1,,AVEN
EHD2,ERAP1,EHD4,CCDC22,CUL5,RPS18,NDKB,,AVL9
EHD3,ERGIC1,Eif2ak4,CCDC25,SRI,RAB1A,ANXA2,,AZGP1
EHD4,ERICH3,EIF2B2,CCDC39,RRM1,HINT1,CLH1,,AZU1
EIF2AK4,ERLIN1,EIF2B3,CCDC40,SNX5,,COPG1,,B2M
EIF2B2,ERLIN2,Eif2b4,CCDC6,PDAP1,RAN,CRIP1,,B3GAT3
EIF2B3,ERO1A,EIF2B5,CCDC78,AOX1,TXNRD1,ACLY,,B3GLCT
EIF2B4,ERP29,Eif2s1,CCDC93,GNAI2,RPS23,6PGD,,B4GALT1
EIF2B5,ERP44,EIF2S2,CCM,RPL26,MYO5C,LDHB,,B4GAT1
EIF2S1,ESCO2,Eif2s3x,CCS,GART,G6PD,RL8,,BABAM1
EIF2S2,ESD,EIF3A,CCT2,SARNP,DCTN2,PDXK,,BABAM2
EIF2S3,ESYT1,Eif3b,CCT4,AP2A2,RPSA,HBB,,BAG1
EIF3A,ESYT2,EIF3C,CCT5,RPL13A,BTF3,CNDP2,,BAG2
EIF3B,ETFA,Eif3d,CCT7,PHPT1,,CFAB,,BAG3
EIF3C,ETFB,Eif3e,CCT8,COPS3,ZNF41,TBB4B,,BAG5
EIF3D,ETHE1,EIF3F,CD109,NIBAN2,STIP1,SERB,,BAG6
EIF3E,EWSR1,EIF3G,CD151,ARHGDIB,,IQGA1,,BAIAP2
EIF3F,EZR,EIF3H,CD2AP,AMDHD2,LOC478000,G6PI,,BAIAP2L1
EIF3G,F13A1,Eif3i,CD2BP2,GNB4,SRI,ENPL,,BANF1
EIF3H,F13B,EIF3J,CD5L,DYNLRB2,HNRNPD,G3P,,BAP18
EIF3I,F2,EIF3K,CD63,MARCKSL1,MRPL16,RL22,,BASP1
EIF3J,FABP3,EIF3L,CD82,MAP4,PSMB1,K2C1,,BAX
EIF3K,FABP5,Eif3m,CD9,ENSECAG00000008928,HSPD1,ANXA5,,BAZ1A
EIF3L,FAM129B,Eif4a1,CDA,DISC1,CALM1,TTHY,,BAZ1B
EIF3M,fam166b,Eif4a2,CDC123,GALK1,CNN3,IDHC,,BBS9
EIF4A1,FAM181A,Eif4a3,CDC37,S100A10,RAB2A,CERU,,BBX
EIF4A2,FAM213A,EIF4G1,CDC42,GUCY1A1,SRSF1,FRIH,,BCAM
EIF4A3,FAM92B,EIF4G2,CDC42BPB,NAP1L1,SRP14,A1AT,,BCAP29
EIF4G1,FARP1,EIF4G3,CDC5L,HSP90B1,TMEM109,PPIA,,BCAP31
EIF4G2,FARSA,EIF5,CDH1,RPS14,SARNP,LV104,,BCAR3
EIF4G3,FARSB,Eif5a,CDH13,ATP6V1D,LGALS1,UBA1,,BCAS2
EIF5,FASN,EIF5B,CDIPT,USP43,BPNT1,HSP7C,,BCAS3
EIF5A,FBL,eif6,CDK18,AK2,SOD1,PGK1,,BCAT1
EIF5B,FBLN1,ELMO1,CDK4,DCTN1,ELAVL1,TKT,,BCAT2
EIF6,FECH,Elmo3,CDK5,CAPZA1,PTGIS,PLMN,,BCCIP
ELAVL1,FERMT2,ELP3,CDK6,CORO1B,TLN1,PYGL,,BCHE
ELMO3,FGA,EMC1,CDK9,RPS23,HSD17B12,RS16,,BCKDHA
ELP3,FGB,EMC3,CDKN2AIP,ACTC1,SNRPB,PRDX2,,BCKDHB
EMD,FGG,Eml1,CDS2,SEPHS1,PDIA4,AOC3,,BCL10
EML1,FH,EML3,CDV3,ENSECAG00000009117,UPF2,KRT81,,BCL2
EML3,FHL1,EML4,CELF1,PPP1R7,LOC100683871,TRFE,,BCL2L1
EML4,FKBP11,ENAH,CERS2,ENSECAG00000017343,BAK1,RSSA,,BCL2L12
ENAH,FKBP4,Enpp3,CERT1,PGP,ETHE1,CYTB,,BCL2L13
ENO1,FLII,epb41,CFAP20,NANS,CTSZ,ANT3,,BCL7B
ENO3,FLNA,Epb41l1,CFAP300,CNIH1,UCHL3,HS71A,,BCLAF1
ENPP3,FLNB,EPB41L2,CFAP36,KLC3,RPS5,PA1B3,,BCR
EPB41,FLRT3,EPB41L3,CFAP44,NUCKS1,TOMM40,A2MG,,BCS1L
EPB41L1,FMO1,EPB41L4A,CFAP52,GMPPA,GLIPR2,TIG1,,BDH1
EPB41L2,FMO2,EPB41L4B,CFAP57,OPLAH,HSPA4L,F12AI,,BDH2
EPB41L3,FMO5,Epb41l5,CFB.1,HDHD2,TAGLN2,CO3,,BET1L
EPB41L5,FN1,Ephb2,CFB.2,RPL22,PIR,CFAH,,BGN
EPCAM,FN3KRP,Epn1,CFI.1,TSTD1,MRPS27,SODC,,BHLHE40
EPHX1,folr1,EPPK1,CFL1,DSTN,S100A6,CBR3,,BIN1
EPHX2,FUBP1,EPRS,CFL2,ENSECAG00000040430,SSR4,HNRPU,,BIN2
EPN1,FUK,Eps15,CGN,STARD10,IDH3G,CI064,,BIN3
EPPK1,FUS,EPS15L1,CHCHD3,NDRG4,LOC102154486,MOES,,BIRC6
EPS15,FYN,EPS8,CHD4,AIMP2,RPL9,PDC6I,,BLMH
EPS15L1,G6PD,ERC1,CHERP,RPL9,ATIC,OSTP,,BLOC1S1
EPS8,GALK1,ERGIC1,CHI3L1,LCN2,S100A4,MIPT3,,BLOC1S4
EPS8L1,GALM,Ergic2,CHM,NHLRC2,PRDX4,RET4,,BLVRA
EPS8L2,GAN,ERGIC3,CHMP2A,XPOT,PCNA,LV102,,BLVRB
ERAP1,GANAB,ERICH3,CHMP3,SUGT1,RBMX,RL7,,BMP1
