gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
KCNIP1	0	-0.528833405	0.005	0.181	0
SLIT3	0	-3.387179301	0.235	0.955	0
ADAM19	0	0.716100188	0.369	0.035	0
SGCD	0	1.416535994	0.912	0.478	0
SPARC	0	-0.706545921	0.831	0.938	0
ANXA6	0	0.427339317	0.345	0.092	0
TNIP1	0	-1.33167873	0.267	0.696	0
RPS14	0	-0.614203517	0.966	0.997	0
PDGFRB	0	-0.607381376	0.019	0.358	0
DPYSL3	0	0.789591163	0.518	0.144	0
ARHGAP26	0	1.002453993	0.57	0.089	0
FGF1	0	1.025384877	0.511	0.011	0
SPRY4	0	0.666652431	0.446	0.052	0
NDFIP1	0	0.479572181	0.804	0.611	0
LOC100926346	0	1.812410165	0.987	0.714	0
LOC105750727	0	0.251983638	0.233	0.067	0
LOC116421572	0	0.337553176	0.251	0.031	0
LOC116421642	0	0.308770218	0.206	0.008	0
LOC116421640	0	0.275156743	0.171	0.001	0
LOC100922423	0	0.28978385	0.183	0.002	0
CD14	0	-0.399595555	0.009	0.227	0
LOC100933962	0	0.368919435	0.892	0.792	0
CXXC5	0	-0.454092405	0.193	0.451	0
MATR3	0	0.352552928	0.946	0.88	0
LOC100930828	0	-0.524706526	0.458	0.695	0
EGR1	0	-0.459408602	0.232	0.456	0
FAM13B	0	0.443327863	0.694	0.474	0
SETD3	0	0.460940343	0.623	0.386	0
CCDC85C	0	0.304005634	0.16	0.01	0
HSP90AA1	0	-0.671746928	0.525	0.743	0
TNFAIP2	0	-2.204703637	0.007	0.726	0
EIF5	0	-0.422549615	0.467	0.656	0
KLC1	0	-0.406144323	0.731	0.839	0
PPP1R13B	0	0.511232079	0.61	0.369	0
KIF26A	0	1.031331361	0.535	0.025	0
AHNAK2	0	-0.491778078	0.055	0.325	0
IRF1	0	-0.332411136	0.009	0.186	0
PDLIM4	0	-0.962428105	0.452	0.778	0
C2H5orf15	0	-0.401630416	0.165	0.408	0
JADE2	0	-1.049695841	0.155	0.544	0
KLHL3	0	0.456888464	0.314	0.046	0
JAG2	0	0.79973699	0.392	0.002	0
BRF1	0	0.488595459	0.712	0.463	0
TRIM9	0	0.465282336	0.345	0.093	0
SAMD4A	0	-1.102461174	0.828	0.953	0
LGALS3	0	-0.815194746	0.04	0.456	0
ARF6	0	-0.376941063	0.169	0.405	0
PNN	0	0.615721205	0.712	0.398	0
GEMIN2	0	0.490644469	0.556	0.284	0
MIPOL1	0	1.170805597	0.712	0.196	0
NFKBIA	0	-0.602664451	0.029	0.382	0
CRIP1	0	-2.135165689	0.203	0.895	0
CRIP2	0	-0.424279543	0.173	0.407	0
PACS2	0	0.3993709	0.821	0.667	0
RALGAPA1	0	0.417029341	0.953	0.879	0
DDHD1	0	0.382530048	0.838	0.679	0
RPS29	0	-0.76690343	0.938	0.995	0
ERH	0	-0.50269641	0.421	0.63	0
GALNT16	0	-1.2821019	0.022	0.52	0
ACTN1	0	-0.827673085	0.961	0.99	0
ZFP36L1	0	-0.890205277	0.344	0.696	0
ARG2	0	-0.533717999	0.082	0.361	0
GPHN	0	0.597446151	0.945	0.819	0
FUT8	0	1.059064249	0.845	0.642	0
FNTB	0	0.436441254	0.38	0.122	0
RAB15	0	0.654949086	0.372	0.022	0
PLEKHG3	0	0.383830541	0.396	0.169	0
SYNE2	0	-1.835428162	0.569	0.941	0
RHOJ	0	0.821102521	0.52	0.1	0
SLC38A6	0	0.431132084	0.534	0.311	0
DHRS7	0	-0.2917436	0.047	0.203	0
PCNX4	0	0.349268532	0.386	0.18	0
RTN1	0	1.035353074	0.393	0.001	0
PELI2	0	-0.374852936	0.031	0.233	0
TTC9	0	-0.402473154	0.009	0.162	0
RGS6	0	1.936547148	0.44	0.004	0
NPC2	0	-0.272710163	0.1	0.269	0
LTBP2	0	-2.098965433	0.292	0.874	0
PGF	0	0.603888321	0.37	0.009	0
JDP2	0	-0.458950431	0.086	0.326	0
TGFB3	0	0.438267858	0.368	0.116	0
SLIRP	0	-0.356553578	0.203	0.418	0
STON2	0	0.441368627	0.307	0.055	0
EML5	0	1.167056181	0.5	0.009	0
FOXN3	0	0.67400241	0.865	0.583	0
CALM1	0	-1.10570592	0.646	0.893	0
CCDC88C	0	1.061486632	0.637	0.104	0
FBLN5	0	-0.416285337	0.096	0.285	0
G2E3	0	0.442913216	0.736	0.5	0
TRAF2	0	-0.566690451	0.439	0.631	0
TUBB4B	0	-0.640814642	0.198	0.469	0
ZBTB46	0	0.62018866	0.449	0.149	0
PPDPF	0	-0.371105115	0.176	0.391	0
COL9A3	0	0.327210694	0.167	0.006	0
RPS21	0	-0.474947043	0.909	0.982	0
LAMA5	0	-1.384127122	0.003	0.643	0
GNAS	0	0.412994451	0.886	0.78	0
APCDD1L	0	0.356615348	0.184	0.003	0
PMEPA1	0	1.682097817	0.557	0.03	0
BMP7	0	0.46615254	0.283	0.06	0
TFAP2C	0	0.374363579	0.278	0.05	0
SERINC3	0	-0.638897031	0.17	0.503	0
CCN5	0	-0.27722897	0.002	0.176	0
YWHAB	0	-0.469181809	0.374	0.606	0
TOMM34	0	-0.322846117	0.182	0.377	0
SDC4	0	-0.319379478	0.033	0.224	0
WFDC2	0	-0.263705938	0.001	0.131	0
CAMK2B	0	0.737433887	0.483	0.1	0
LOC100919989	0	-0.396993113	0.216	0.432	0
CLU	0	-0.774432819	0.057	0.444	0
ADCY3	0	-0.862943101	0.019	0.479	0
DNMT3A	0	0.537489445	0.535	0.219	0
RAB10	0	-0.588712671	0.649	0.836	0
MAPRE3	0	0.640618848	0.543	0.19	0
MRPL33	0	-0.333504177	0.147	0.354	0
FOSL2	0	-1.000242962	0.089	0.609	0
LBH	0	-1.132384062	0.137	0.607	0
HPCAL1	0	-0.540965877	0.202	0.417	0
ADSS2	0	-0.542761636	0.133	0.425	0
HSBP1	0	-0.389615768	0.167	0.403	0
CDH13	0	-2.631272578	0.17	0.9	0
CRIM1	0	-1.38757543	0.502	0.686	0
LTBP1	0	0.740631799	0.55	0.2	0
BIRC6	0	0.462700562	0.986	0.94	0
GALNT14	0	0.863175974	0.471	0.116	0
CYS1	0	0.367181839	0.318	0.097	0
ASAP2	0	0.64326174	0.951	0.775	0
MBOAT2	0	0.684926418	0.502	0.16	0
RNF144A	0	0.479668873	0.386	0.107	0
SOX11	0	0.375649025	0.255	0.022	0
RPS7	0	-0.961436518	0.978	0.999	0
EIPR1	0	0.494641939	0.589	0.365	0
MYT1L	0	2.965549845	0.912	0.128	0
PXDN	0	1.845548376	0.96	0.502	0
SNTG2	0	-1.168784534	0.089	0.516	0
CSMD1	0	2.508837725	0.484	0.025	0
BMP2	0	-0.902843009	0.105	0.398	0
PLCB1	0	0.4158761	0.941	0.7	0
PLCB4	0	3.018748174	0.934	0.161	0
ANKEF1	0	0.295233259	0.22	0.045	0
JAG1	0	0.304062886	0.197	0.02	0
BTBD3	0	0.648433106	0.565	0.224	0
MACROD2	0	0.989779631	0.577	0.167	0
DSTN	0	-1.30258622	0.811	0.987	0
RRBP1	0	-1.104373948	0.803	0.967	0
SLC24A3	0	-1.152489188	0.547	0.687	0
RALGAPA2	0	0.587820942	0.881	0.706	0
XRN2	0	0.386413389	0.785	0.617	0
THBD	0	-0.618960184	0	0.268	0
NAPB	0	0.488565434	0.562	0.33	0
LOC100915208	0	-1.201424916	0.541	0.816	0
NINL	0	1.132745333	0.864	0.463	0
MERTK	0	0.269474969	0.21	0.046	0
LOC116421439	0	-2.760703246	0.235	0.863	0
HMBOX1	0	0.458747655	0.862	0.678	0
MSRA	0	1.644162996	0.947	0.56	0
XKR6	0	0.888906598	0.75	0.416	0
LOC105749071	0	-0.331910052	0.006	0.217	0
SLC39A14	0	0.307740641	0.292	0.098	0
BMP1	0	-0.392023401	0.177	0.395	0
LPL	0	0.48356917	0.285	0.003	0
PSD3	0	-0.919159041	0.935	0.953	0
CSGALNACT1	0	-0.946189559	0.008	0.448	0
HOOK3	0	-0.509958187	0.72	0.864	0
ANK1	0	0.40557959	0.205	0.019	0
ADAM9	0	-0.515511615	0.324	0.556	0
TACC1	0	-0.908039516	0.251	0.679	0
FGFR1	0	1.489928161	0.952	0.585	0
DDHD2	0	0.33144244	0.36	0.158	0
TIA1	0	0.661762581	0.936	0.766	0
TGFA	0	-0.547976157	0.034	0.232	0
PRNP	0	-0.668800163	0.014	0.35	0
ANTXR1	0	1.059238926	0.775	0.308	0
ANXA4	0	-0.510480214	0.059	0.354	0
ROCK2	0	-0.443224605	0.775	0.891	0
MEIS1	0	1.14084862	0.855	0.442	0
SPRED2	0	0.403504753	0.952	0.86	0
RAB1A	0	-0.613095092	0.713	0.877	0
WDPCP	0	0.471689738	0.51	0.262	0
USP34	0	0.447909826	0.987	0.945	0
BCL11A	0	0.899118964	0.836	0.471	0
VRK2	0	-0.542100316	0.129	0.418	0
CFAP36	0	-0.577597563	0.291	0.591	0
CCDC88A	0	1.062797943	0.982	0.815	0
RPS27A	0	-0.639350085	0.956	0.994	0
RTN4	0	-0.89177155	0.679	0.891	0
ASB3	0	0.392810704	0.466	0.237	0
STON1	0	-0.340987793	0.086	0.274	0
CALM2	0	-0.901341924	0.725	0.922	0
RHOQ	0	0.357032942	0.281	0.072	0
EPAS1	0	-0.317396342	0.006	0.142	0
PRKCE	0	0.622123118	0.58	0.35	0
SRBD1	0	0.462294569	0.693	0.486	0
CAMKMT	0	-0.473061835	0.165	0.382	0
PLEKHH2	0	-0.408973522	0.125	0.325	0
ZFP36L2	0	-0.637351092	0.095	0.392	0
SLC8A1	0	0.68658056	0.701	0.279	0
MAP4K3	0	0.522133007	0.834	0.645	0
LOC100935353	0	-1.42998856	0.007	0.604	0
CDYL2	0	-0.803447961	0.073	0.464	0
WWOX	0	1.488672864	0.914	0.605	0
CDH11	0	1.224853891	0.996	0.863	0
LOC100925140	0	-0.321603762	0.093	0.292	0
CBFB	0	0.488109678	0.827	0.653	0
SLC12A4	0	-0.343169954	0.207	0.42	0
CRISPLD2	0	0.431211445	0.301	0.033	0
C2H16orf74	0	-0.941684639	0.037	0.53	0
LOC100924710	0	-0.674890274	0.511	0.736	0
LOC100932491	0	-0.419292463	0.136	0.376	0
RPL13	0	-0.821667658	0.931	0.995	0
DPEP1	0	-0.383684121	0.001	0.209	0
SNTB2	0	-0.701212232	0.279	0.575	0
ZFHX3	0	1.106083118	0.988	0.849	0
LOC100923915	0	-0.758974771	0.001	0.229	0
CFDP1	0	0.349826073	0.381	0.18	0
SF3B3	0	0.379678778	0.532	0.311	0
ADGRG1	0	-0.392203154	0.097	0.305	0
URGCP	0	-0.466236127	0.106	0.384	0
MRPS24	0	-0.331955256	0.125	0.326	0
SLC20A1	0	-0.725155988	0.231	0.555	0
ST3GAL5	0	0.538805945	0.309	0.028	0
CAPG	0	-0.366198915	0.026	0.259	0
TGOLN2	0	-0.258130641	0.039	0.207	0
TCF7L1	0	-0.849676147	0.506	0.825	0
CTNNA2	0	-2.93509015	0.053	0.421	0
LOC100926797	0	-0.338010812	0.004	0.16	0
LOXL2	0	-0.88211911	0.19	0.579	0
SLC25A37	0	-0.46342438	0.275	0.483	0
TET3	0	0.49956941	0.518	0.239	0
TRIB2	0	0.506883641	0.405	0.109	0
LAPTM4A	0	-0.487988765	0.152	0.402	0
TAX1BP3	0	-0.481219971	0.137	0.41	0
SST	0	-2.602398238	0	0.576	0
MASP1	0	-0.763542444	0.001	0.37	0
FARP2	0	-0.275688667	0.024	0.206	0
SNED1	0	-0.256787498	0.002	0.117	0
SSR3	0	-0.591205401	0.285	0.564	0
TIPARP	0	-1.199236508	0.037	0.606	0
CCNL1	0	-0.507685285	0.731	0.824	0
VEPH1	0	-0.439220034	0.001	0.261	0
PTX3	0	-2.641081322	0.037	0.823	0
LOC100913944	0	-0.745771496	0.279	0.582	0
NAALADL2	0	-1.157533908	0.604	0.919	0
KCNMB2	0	1.615461309	0.533	0.003	0
IGSF10	0	0.34726607	0.2	0	0
SERP1	0	-0.303632394	0.127	0.311	0
WWTR1	0	1.583799808	0.898	0.41	0
TM4SF1	0	-0.767163551	0.145	0.5	0
PLOD2	0	1.511726133	0.931	0.445	0
DIPK2A	0	0.581302212	0.47	0.195	0
TFDP2	0	0.431566784	0.55	0.309	0
AGFG1	0	-0.514355079	0.493	0.657	0
SERPINE2	0	-0.953769242	0.114	0.43	0
ACSL3	0	0.466163515	0.564	0.329	0
EPHA4	0	1.418797055	0.628	0.121	0
DES	0	-0.444151368	0	0.21	0
TNS1	0	-1.956512653	0.104	0.853	0
FN1	0	0.959283383	0.998	0.949	0
ERBB4	0	0.418415623	0.307	0.11	0
LANCL1	0	0.472704855	0.425	0.16	0
MAP2	0	1.475979787	0.581	0.025	0
FASTKD2	0	0.357588377	0.368	0.16	0
ZDBF2	0	0.44239755	0.788	0.582	0
NRP2	0	-1.35048353	0.146	0.704	0
PARD3B	0	-0.539841277	0.138	0.34	0
ABI2	0	0.70604251	0.736	0.403	0
CARF	0	0.323520735	0.29	0.096	0
FAM117B	0	0.571193857	0.425	0.091	0
C2CD6	0	0.380028094	0.302	0.088	0
CFLAR	0	-0.413164108	0.092	0.31	0
ORC2	0	0.451996709	0.505	0.257	0
TPT1	0	-1.24542061	0.777	0.988	0
ENOX1	0	1.57260731	0.946	0.537	0
DIAPH3	0	-1.396035763	0.458	0.81	0
PCDH9	0	3.204295889	0.958	0.146	0
DIS3	0	0.427083955	0.502	0.26	0
KLF5	0	-0.392599027	0.054	0.248	0
KLF12	0	0.754816252	0.853	0.637	0
EDNRB	0	-0.552641949	0	0.228	0
RBM26	0	0.585819768	0.92	0.768	0
MBNL2	0	0.942554381	0.885	0.544	0
DOCK9	0	1.417340993	0.863	0.369	0
TMTC4	0	0.713767518	0.444	0.078	0
ARGLU1	0	0.528610753	0.684	0.423	0
COL4A1	0	-1.901744982	0.303	0.785	0
COL4A2	0	-1.273154093	0.232	0.598	0
MCF2L	0	0.401683739	0.217	0.013	0
RASA3	0	0.912886896	0.818	0.529	0
SH3RF3	0	-3.17836255	0.269	0.919	0
LIMS1	0	1.139466498	0.96	0.722	0
NCK2	0	0.433295427	0.577	0.359	0
LOC116422540	0	0.731556007	0.689	0.37	0
FHL2	0	-1.042717959	0.473	0.807	0
LOC100913514	0	-0.778426238	0.145	0.495	0
IL1R2	0	-1.511095496	0.002	0.511	0
MAP4K4	0	0.332734038	0.988	0.951	0
ROBO2	0	0.936970056	0.476	0.147	0
ROBO1	0	1.341598523	0.987	0.774	0
CADM2	0	1.395200218	0.298	0.03	0
VGLL3	0	0.844566506	0.482	0.054	0
EPHA3	0	0.708708097	0.998	0.997	0
ADGRG2	0	0.297531983	0.141	0.009	0
CDKL5	0	0.653249375	0.694	0.377	0
SCML2	0	0.489914645	0.41	0.149	0
REPS2	0	0.619753309	0.337	0.009	0
TXLNG	0	0.460994134	0.643	0.409	0
CA5B	0	0.705096651	0.471	0.105	0
GPM6B	0	2.442002476	0.863	0.077	0
EGFL6	0	0.460224957	0.208	0.001	0
TMSB4X	0	-1.183172384	0.915	0.995	0
ARHGAP6	0	0.626663504	0.639	0.438	0
MID1	0	1.456862203	0.713	0.128	0
CLCN4	0	0.363480138	0.302	0.09	0
WWC3	0	0.50581592	0.844	0.694	0
SHROOM2	0	-0.943240103	0.235	0.423	0
TBL1X	0	1.431995993	0.969	0.61	0
ANOS1	0	0.818498521	0.245	0.011	0
PNPLA4	0	0.268738058	0.218	0.055	0
STS	0	0.462663149	0.299	0.046	0
PUDP	0	0.418889045	0.452	0.223	0
NLGN4X	0	0.829947397	0.33	0.009	0
LOC111720295	0	0.274447599	0.152	0.001	0
PPP2R3B	0	0.303145399	0.285	0.1	0
LOC100933824	0	0.614068547	0.871	0.658	0
JADE3	0	0.943057945	0.739	0.302	0
SLC9A7	0	0.55554573	0.317	0.034	0
NIPA1	0	-0.40557368	0.043	0.266	0
ATP10A	0	0.599099251	0.784	0.536	0
AFF3	0	1.505348956	0.839	0.512	0
LONRF2	0	-0.77885596	0.37	0.685	0
PRDM15	0	0.448028421	0.674	0.465	0
BRWD1	0	0.612041562	0.906	0.716	0
AGPAT3	0	0.497640003	0.506	0.223	0
CSTB	0	-1.061891018	0.168	0.661	0
CBS	0	0.528428487	0.437	0.146	0
NCAM2	0	2.185205958	0.848	0.049	0
TTC3	0	0.636807757	0.906	0.735	0
ERG	0	0.285606411	0.128	0.002	0
SOD1	0	-0.465963832	0.392	0.591	0
TIAM1	0	1.192061876	0.819	0.325	0
RUNX1	0	1.214918238	0.993	0.96	0
RCAN1	0	0.393702083	0.509	0.287	0
IL10RB	0	-0.295419611	0.035	0.205	0
PAXBP1	0	0.531583918	0.775	0.538	0
DMD	0	0.860707525	0.399	0.042	0
TAB3	0	0.465624671	0.641	0.416	0
LOC100918961	0	-0.480123249	0.01	0.274	0
PCYT1B	0	0.298699513	0.2	0.023	0
SAT1	0	-0.484833301	0.188	0.436	0
BCLAF3	0	0.638544675	0.848	0.642	0
COL8A1	0	2.185302256	0.79	0.083	0
RPL24	0	-0.724651005	0.9	0.984	0
ALCAM	0	1.152730964	0.7	0.333	0
BBX	0	0.751781742	0.739	0.452	0
CD47	0	0.571724834	0.619	0.313	0
PLCXD2	0	0.364713866	0.243	0.029	0
C3H3orf52	0	-0.318848188	0.001	0.126	0
LOC100919855	0	-1.036402163	0.163	0.536	0
CCDC80	0	0.898666666	0.636	0.178	0
SPICE1	0	0.362581741	0.43	0.213	0
ZBTB20	0	-0.983745922	0.928	0.987	0
SLCO2A1	0	0.783527295	0.496	0.186	0
AMOTL2	0	-0.668681108	0.351	0.591	0
PXYLP1	0	0.325111622	0.257	0.058	0
ARHGEF4	0	-1.222973861	0.032	0.283	0
FAM168B	0	-0.733965364	0.401	0.66	0
PLEKHB2	0	-0.556716348	0.068	0.392	0
HS6ST1	0	2.793781598	0.997	0.595	0
LIMS2	0	-0.371945962	0.11	0.329	0
BIN1	0	-0.430753744	0.181	0.396	0
CNTNAP5	0	1.887498041	0.458	0.065	0
CLASP1	0	0.425432739	0.959	0.898	0
GLI2	0	1.191348046	0.952	0.661	0
RALB	0	-0.421168132	0.205	0.456	0
EPB41L5	0	0.608665458	0.478	0.135	0
PTPN4	0	0.826721161	0.776	0.413	0
DBI	0	-1.204224219	0.493	0.802	0
ACTR3	0	-0.459969571	0.831	0.916	0
CCNT2	0	0.393751618	0.768	0.585	0
DARS1	0	0.535744182	0.704	0.451	0
LRP1B	0	0.774783693	0.276	0.055	0
ZEB2	0	-1.287400702	0.101	0.585	0
ORC4	0	0.450220494	0.605	0.369	0
LOC111719746	0	0.506532141	0.778	0.58	0
LYPD6	0	0.871049886	0.405	0.017	0
IL10RA	0	-0.431683569	0.001	0.252	0
SC5D	0	0.452495064	0.46	0.215	0
UBASH3B	0	1.720795198	0.871	0.281	0
HSPA8	0	-0.450178004	0.83	0.915	0
CLMP	0	0.499485279	0.608	0.329	0
GRAMD1B	0	0.842012231	0.471	0.09	0
SPATS2L	0	1.223422214	0.76	0.302	0
SATB2	0	0.749259732	0.453	0.103	0
PLCL1	0	0.793738239	0.457	0.174	0
RFTN2	0	0.329050947	0.219	0.02	0
ANKRD44	0	1.651471277	0.876	0.352	0
GTF3C3	0	0.374096184	0.444	0.218	0
HECW2	0	0.582602686	0.608	0.312	0
SLC39A10	0	0.536425081	0.543	0.251	0
TMEFF2	0	2.751873206	0.83	0.095	0
CAVIN2	0	0.95341987	0.532	0.025	0
NABP1	0	0.363120955	0.253	0.035	0
MYO1B	0	1.589623067	0.936	0.403	0
STAT4	0	0.294653972	0.148	0.002	0
WDR75	0	0.646777327	0.561	0.234	0
COL5A2	0	0.517340412	1	0.965	0
COL3A1	0	1.081784866	1	0.828	0
GULP1	0	1.039097091	0.813	0.573	0
TFPI	0	-0.656226554	0.22	0.466	0
HOXD4	0	0.844850781	0.549	0.114	0
CHN1	0	0.968101824	0.625	0.139	0
GPR155	0	0.362312997	0.296	0.08	0
OLA1	0	0.587821216	0.93	0.845	0
MAP3K20	0	-0.431542845	0.198	0.397	0
ITGA6	0	0.751931151	0.574	0.23	0
LOC100931214	0	-0.442426275	0.065	0.338	0
DHRS9	0	-0.28844796	0.001	0.128	0
CERS6	0	0.98360276	0.883	0.548	0
STK39	0	0.692851705	0.708	0.398	0
B3GALT1	0	0.271676168	0.136	0.002	0
LOC116422456	0	2.062736117	0.581	0.028	0
GALNT3	0	0.310767773	0.171	0.002	0
CSRNP3	0	0.779299236	0.353	0.005	0
FAP	0	-0.857434701	0.585	0.807	0
TANC1	0	1.107406864	0.899	0.529	0
PKP4	0	0.597175628	0.871	0.638	0
ACVR1	0	0.739583947	0.696	0.343	0
GALNT5	0	0.732072869	0.435	0.008	0
FMNL2	0	0.510646147	0.924	0.749	0
ARL5A	0	0.706662794	0.597	0.252	0
NEB	0	0.352512304	0.208	0.005	0
TNFAIP6	0	0.405818602	0.441	0.138	0
RND3	0	-0.665134411	0.149	0.451	0
DCLK1	0	1.051620889	0.424	0.042	0
NBEA	0	1.174152697	0.988	0.887	0
MEDAG	0	-0.38376605	0.001	0.202	0
HMGB1	0	-0.870036211	0.814	0.912	0
POMP	0	-0.455669155	0.374	0.609	0
FLT1	0	1.304147397	0.524	0.063	0
RPL21	0	-0.891761759	0.847	0.98	0
WASF3	0	0.567338596	0.511	0.21	0
CDK8	0	0.419029132	0.799	0.631	0
ATP8A2	0	0.343676155	0.252	0.074	0
SHISA2	0	0.263738652	0.186	0.025	0
SPATA13	0	-0.916316537	0.072	0.422	0
MIPEP	0	0.776787089	0.64	0.29	0
TNFRSF19	0	0.466393281	0.258	0.005	0
SGCG	0	1.029883695	0.524	0.104	0
ARHGAP32	0	0.774755065	0.937	0.851	0
ETS1	0	-1.561745727	0.285	0.824	0
CDON	0	0.659121779	0.52	0.164	0
FAT3	0	2.899100004	0.88	0.095	0
TAF1D	0	0.668598957	0.758	0.46	0
AMOTL1	0	0.867639928	0.782	0.412	0
SESN3	0	1.343958325	0.65	0.04	0
GAB2	0	1.428741434	0.506	0.021	0
USP35	0	0.459697047	0.226	0.018	0
RSF1	0	0.556477173	0.846	0.645	0
FCHSD2	0	0.722487393	0.713	0.364	0
P4HA3	0	0.792031539	0.475	0.026	0
RPS3	0	-0.8406497	0.814	0.951	0
CAPN5	0	0.581959509	0.407	0.073	0
PAK1	0	-1.205267447	0.048	0.65	0
TAGLN	0	-2.279618673	0.078	0.838	0
REXO2	0	-0.424067543	0.522	0.704	0
NCAM1	0	0.687443435	0.335	0.046	0
RDX	0	-0.451715786	0.354	0.589	0
GRIA4	0	-3.479899955	0.239	0.783	0
LOC100934169	0	-0.996536749	0	0.209	0
MMP1	0	-0.994485666	0	0.305	0
PRSS23	0	-0.642291214	0.015	0.325	0
CTSC	0	-0.514092513	0.004	0.194	0
NOX4	0	0.761053295	0.462	0.059	0
LCP1	0	0.399471734	0.214	0.005	0
LRCH1	0	0.433104052	0.693	0.451	0
HTR2A	0	-1.547623394	0	0.542	0
FNDC3A	0	0.42574255	0.707	0.508	0
LHFPL6	0	1.318364388	0.754	0.343	0
POSTN	0	3.101970241	0.977	0.177	0
SUPT20H	0	0.510169811	0.669	0.421	0
STIM1	0	0.800602108	0.778	0.433	0
CAVIN3	0	-0.749437429	0.067	0.442	0
CSMD2	0	0.595570991	0.328	0.025	0
SFPQ	0	0.670900856	0.972	0.879	0
ZMYM4	0	0.50775952	0.853	0.66	0
MACF1	0	-0.680095543	0.892	0.972	0
PTP4A2	0	-0.379050677	0.213	0.438	0
SYNC	0	-0.333696889	0.015	0.228	0
PHC2	0	0.382147706	0.502	0.285	0
PUM1	0	0.770164773	0.968	0.818	0
MECR	0	-0.259000351	0.083	0.248	0
ARID1A	0	0.521105556	0.583	0.306	0
MAN1C1	0	-1.231073339	0.022	0.613	0
MACO1	0	0.533550938	0.642	0.365	0
SYF2	0	-0.297005738	0.105	0.292	0
CLIC4	0	-0.767938363	0.603	0.829	0
SRRM1	0	0.426976737	0.806	0.648	0
SRSF10	0	0.405540656	0.795	0.636	0
RPL11	0	-0.669566782	0.906	0.981	0
HSPG2	0	-0.430446312	0.571	0.767	0
EIF4G3	0	0.505309595	0.949	0.883	0
CAMK2N1	0	-0.729356961	0.051	0.436	0
EFHD2	0	-0.662669813	0.011	0.398	0
PDPN	0	-1.940504289	0.003	0.799	0
SRM	0	-0.629644978	0.19	0.507	0
KIF1B	0	0.435708794	0.819	0.677	0
CLSTN1	0	-0.524122707	0.304	0.563	0
SPSB1	0	-0.573534836	0.283	0.587	0
RERE	0	1.05885277	0.995	0.935	0
ERRFI1	0	-0.781157832	0.122	0.482	0
VAMP3	0	-0.330572881	0.111	0.325	0
ACOT7	0	-0.375304209	0.278	0.495	0
RPL22	0	-0.542563165	0.83	0.944	0
LOC116422862	0	-0.460619419	0.002	0.247	0
PRKCZ	0	-0.449872252	0.186	0.433	0
CAPNS1	0	-0.385658954	0.061	0.301	0
FXYD5	0	-0.462650058	0.012	0.285	0
RPS16	0	-0.815470338	0.903	0.984	0
ACTN4	0	-0.514525952	0.591	0.754	0
PSMD8	0	-0.368639395	0.178	0.394	0
BLVRB	0	-0.460897357	0.187	0.439	0
AXL	0	-0.262871157	0.006	0.179	0
TGFB1	0	-0.400154472	0.055	0.304	0
AP2S1	0	-0.491143796	0.148	0.43	0
CALM3	0	-0.321489399	0.205	0.405	0
APOE	0	-1.71165723	0.026	0.575	0
RABAC1	0	-0.456386886	0.197	0.447	0
RPS19	0	-0.428765184	0.959	0.992	0
LOC100915075	0	-0.335261482	0.008	0.217	0
CHMP2A	0	-0.425851167	0.116	0.356	0
RPS5	0	-0.555682522	0.916	0.974	0
IL11	0	-0.472419956	0	0.202	0
RRAS	0	-0.672951607	0.03	0.406	0
LOC116422928	0	-0.624487488	0.924	0.987	0
BAX	0	-0.477742915	0.156	0.427	0
FTL	0	-1.428244197	0.204	0.778	0
PPP1R15A	0	-0.354264983	0.032	0.248	0
RPL18	0	-0.709668814	0.868	0.972	0
EMP3	0	-0.637192503	0.136	0.463	0
MYADM	0	-0.583201891	0.084	0.412	0
CDC42EP5	0	-0.49671294	0.106	0.379	0
FUBP1	0	0.511232118	0.741	0.495	0
NEXN	0	-0.395907747	0.024	0.251	0
LHX8	0	-0.254408311	0	0.139	0
SRSF11	0	0.364354192	0.816	0.665	0
LRRC7	0	0.835974497	0.556	0.098	0
GNG12	0	-0.752318853	0.005	0.458	0
GADD45A	0	-0.331665103	0.083	0.271	0
JAK1	0	-0.857408279	0.301	0.713	0
RAVER2	0	0.513452872	0.59	0.328	0
CACHD1	0	0.744465672	0.678	0.37	0
NFIA	0	0.778387682	0.927	0.794	0
FGGY	0	0.480573581	0.366	0.093	0
JUN	0	-0.596044319	0.192	0.499	0
PLPP3	0	-0.787813424	0.066	0.436	0
PRDX1	0	-1.314714505	0.208	0.7	0
RPS8	0	-0.418793281	0.963	0.992	0
ATP6V0B	0	-0.274653454	0.073	0.248	0
RPL5	0	-0.414393134	0.932	0.971	0
EVI5	0	-1.10395795	0.346	0.794	0
RPAP2	0	0.453732746	0.387	0.123	0
TGFBR3	0	-0.718930641	0.137	0.35	0
LRRC8D	0	0.413821982	0.37	0.138	0
LRRC8C	0	-0.765408505	0.11	0.478	0
LMO4	0	-1.080772639	0.273	0.627	0
SH3GLB1	0	-0.584548183	0.511	0.742	0
COL24A1	0	2.074287349	0.792	0.159	0
CCN1	0	-0.666402546	0.467	0.682	0
LOC116423793	0	-0.548196879	0.112	0.346	0
DDAH1	0	-0.997457705	0.235	0.516	0
ADGRL2	0	1.291169297	0.848	0.395	0
DDR2	0	0.475473828	0.957	0.846	0
RGS5	0	1.124939445	0.516	0	0
RXRG	0	0.407300164	0.221	0.001	0
