BOVINE OF,FELINE OEV,PORCINE OEV,DUNNART OF,EQUINE OF,CANINE OEV,SHEEP OF,RABBIT OF,HUMAN OF
CDK1,cenpv,CDC42BPA,ATP5PD,DNAJC8,CFL1,H2A1D,PDI,ANXA7
CDK5RAP3,CEP128,CDC42BPB,ATP5PO,DNM1L,CFL2,H2B1B,PDIA3,ANXA8L1
CEMIP,CEP131,CDC42BPG,ATP6V0A1,DNPEP,CHCHD2,H33,PDIA4,AOC1
CETN2,CEP135,CDH13,ATP6V0C,DNPH1,CHCHD2,H4,PDIA5,AOC3
CFAP20,CEP55,CDHR3,ATP6V0D1,DPCD,CHCHD2,HBA1,PDIA6,AOX1
CFAP52,CEP57L1,Cdk1,ATP6V1A,DPP3,CHCHD3,HBB,PEA15,AP1B1
CFAP57,cetn2,CELF1,ATP6V1B2,DPP4,CHCHD3,HBBN,PEBP1,AP1G1
CFAP70,CFAP45,CEMIP,ATP6V1C1,DPYD,CHCHD3,HBE,PFDN2,AP1G2
CFL1,CFAP52,CEP112,ATP6V1D,DPYSL2,CHMP4B,HDGF,PFN2,AP1M1
CFL2,CFAP53,Cetn2,ATP6V1E1,DR1,CHMP4B,HDHD2,PGAM1,AP1M2
CGN,cfap57,cfap20,ATP6V1F,DSTN,CHTOP,HEBP1,PGD,AP1S1
CHID1,CFAP58,CFAP52,ATP6V1G1,DYNC1H1,CISD2,HEM2,PGER4,AP2A1
CHMP4B,CFAP70,CFAP57,ATP6V1H,DYNC1I2,CISD2,HEMO,PGER5,AP2A2
CHMP5,cfap73,CFAP58,ATRX,DYNC1LI1,CKAP4,HINT1,PGER6,AP2B1
CHORDC1,CFL1,CFAP69,ATXN2,DYNC1LI2,CKAP4,HMGB1,PGER8,AP2M1
CIAO1,CFL2,CFAP70,ATXN2L,DYNLL1,CKAP4,HMGB2,PGK1,AP2S1
CIB1,CGN,CFL1,ATXN3,DYNLRB2,CKB,HNRH1,PGLYRP1,AP3B1
CKAP4,CHCHD3,CFTR,AUH,ECPAS,CKB,HNRPD,PHGDH,AP3D1
CKAP5,CHCHD6,Cgn,AVL9,EDF1,CKB,HNRPF,PI16,AP3M1
CKB,CHD3,CHMP4B,B4GALT1,EEA1,CLIC1,HNRPK,PIGR,AP3S1
CKM,CHD4,CHMP5,BABAM1,EED,CLIC1,HNRPQ,PIGR,AP4S1
CLIC1,CHD5,CHMP6,BABAM2,EEF1A1 ,CLIC1,HNRPU,PKM,AP5S1
CLIC2,CHID1,CHORDC1,BAD,EEF1B2,CLIC4,HORN,PLAT,AP5Z1
CLIC4,CHTOP,Cisd2,BAG3,EEF1D,CLIC4,HP20,PLBD1,APAF1
CLIC5,CIAO1,CKAP4,BAG5,EEF1G ,CLIC4,HPRT,PLCB4,APBB1IP
CLINT1,CIB1,CKAP5,BAG6,EEF2,CLIC5,HRG,PLD3,APBB2
CLIP1,CISD1,CKB,BAIAP2,EHD1,CLTC,HS105,PLG,APCS
CLTA,CKAP4,CLIC1,BAIAP2L1,EIF2S1,CLTC,HS71B,PNP,APEH
CLTC,CKB,CLIC4,BANF1,EIF3A,CLTC,HS90A,PON1,APEX1
CLU,CKM,CLIC5,BASP1,EIF3B,CMPK1,HS90B,PPA1,APH1A
CLUAP1,CKMT1B,CLINT1,BAX,EIF3D,CNBP,HSP74,PPIA,API5
CMBL,CKMT2,CLIP1,BBS1,EIF3E,CNBP,HSP7C,PPIB,APIP
CMPK1,CLEC16A,CLPTM1L,BBS2,EIF3F,CNN1,HSPB1,PPID,APLP2
CNDP2,CLIC1,CLTC,BBS5,EIF3G,CNN1,HVM47,PRDX1,APMAP
CNOT1,CLIC2,Cluap1,BBS7,EIF3H,CNN1,IAH1,PRDX4,APOA1
CNOT2,CLIC4,Cmip,BBS9,EIF3I,CNN2,IATR,PRDX6,APOA2
CNOT3,CLIC5,Cmpk1,BCAM,EIF3J,CNN2,IBP2,PRELP,APOA4
CNOT7,CLINT1,Cndp2,BCAT2,EIF3L,CNN3,ICA,PROM1,APOB
CNP,CLIP4,CNOT1,BCCIP,EIF3M,CNPY2,IDE,PSAP,APOC1
CNPY2,CLTC,CNOT2,BCKDHB,EIF4A1,CNPY2,IDHC,PSMB6,APOC2
CNPY3,CLTCL1,CNOT3,BCL10,EIF4A2,CNPY2,IDI1,PSMD11,APOC3
COG1,CLU,CNOT6L,BCL2L1,EIF4A3,COL12A1,IF2A,PTER,APOD
COG2,CLUAP1,CNOT7,BCLAF1,EIF4B,COL1A1,IF2G,PTGR2,APOE
COG3,Cmah,COG1,BICD2,EIF4E,COL1A1,IF4A1,PYROXD2,APOF
COG8,CMBL,COG2,BIN1,EIF4G3,COL1A1,IF4A2,PZP,APOH
COL12A1,CNN1,COG3,BIN2,EIF4H,COL1A2,IF4A3,QDPR,APOL1
COL14A1,CNN3,COG8,BIRC6,EIF5A ,COL1A2,IF4G1,QSOX1,APOL2
COL15A1,CNP,COL12A1,BLMH,EIF6,COL1A2,IF4H,RAD23B,APOM
COL6A1,CNPY2,COL14A1,BLVRA,ELOB,COL3A1,IF5A1,RBP1,APOO
COMMD2,CNPY3,COL15A1,BLVRB,ELOC,COL3A1,IF6,RBP4,APOOL
COMMD4,COL14A1,COL17A1,BOD1L1,EMILIN3,COL3A1,IGFN1,RCN1,APP
COMT,COL18A1,COL1A2,BOLA1,EML1,COL5A1,IL1B,RIDA,APPL1
COPA,COL1A1,Col4a1,BPGM,EML2,COL5A1,ILEU,RPL31,APPL2
COPB1,COL4A2,Col6a1,BPHL,ENAH,COL5A1,IMB1,RPS12,APRT
COPB2,COL4A4,COMMD4,BPNT1,ENG,COL5A2,IMPA1,RPS25,ARAF
COPE,COMMD2,COMT,BRAF,ENO1,COL7A1,IN35,RSU1,ARAP1
COPG1,COMMD4,COPA,BRAT1,ENO3,COLGALT1,INO1,S100A11,ARCN1
COPG2,COPA,COPB1,BRCC3,ENOPH1,COPB2,IPO5,S100A12,ARF3
COPS2,COPB1,Copb2,BROX,ENPP3,COPE,IPO7,S100A6,ARF4
COPS3,COPB2,COPE,BTF3L4,EPB41L2,COPE,IPYR,S100A8,ARF5
COPS4,COPE,COPG1,BUB3,EPHX2,COPE,IQGA1,S100A9,ARF6
COPS5,COPG1,COPG2,BUD31,EPPK1,COPG1,IQGA2,SAA3,ARFGAP1
COPS6,COPG2,COPS3,BZW1,EPRS1,COPZ1,ISOC1,SCG3,ARFGAP2
COPS7A,COPS2,COPS4,BZW2,ESD,COPZ2,ITIH1,SCGB1A1,ARFGAP3
COPZ1,COPS3,COPS5,C1H5orf22,ETF1,CORO1C,ITIH2,SDF2L1,ARFGEF1
CORO1B,COPS4,Cops6,C1H8orf37,EZR,COX4I1,ITIH3,SELENBP1,ARFIP1
CORO1C,COPS7A,COPS7A,C1H9orf64,FABP3,COX4I1,ITIH4,SELM,ARFIP2
COTL1,COPZ1,Copz1,C1QBP,FABP5,COX4I1,ITPR3,SERPINA3,ARG1
CPD,CORO1B,Coro1b,C1RL,FADD,COX5A,K1C10,SERPINA5,ARG2
CPNE1,CORO1C,COTL1,C1S,FAH,CPNE3,K1C13,SERPINA6,ARGLU1
CPNE3,COTL1,cpb-3,C2CD5,FAM114A1,CPNE3,K1C14,SERPINB1,ARHGAP1
CPPED1,CPD,Cpd,C2H20orf27,FAM120A,CPSF6,K1C16,SERPINB5,ARHGAP10
CPSF7,CPNE3,Cpne1,C3,FAM151B,CPT1A,K1C17,SERPINB9,ARHGAP17
CRB2,CPPED1,CPT1C,C3H11orf54,FAM98B,CRIP2,K1C18,SERPINC1,ARHGAP18
CRBN,CPSF7,CPXM2,C3H1orf174,FARSA,CRIP2,K1C19,SERPIND1,ARHGAP21
CRELD2,CPT1A,CRB2,C4BPA,FARSB,CRIP2,K1C9,SERPINF1,ARHGAP25
CRIP2,cpt2,CRBN,C4H1orf87,FASN,CS,K1H1,SERPINF2,ARHGAP26
CRK,CRELD2,Creld1,C4H6orf132,FAU,CS,K1M1,SERPING1,ARHGAP35
CROCC,CRIP2,Crip2,C5,FBLN1,CS,K1M2,SFN,ARHGAP4
CRYAB,CRMP1,Crk,C5H12orf10,FBP1,CSNK2B,K22E,SH3BGRL,ARHGAP5
CRYZ,CROCC,CSDE1,C6,FBP1,CSNK2B,K2C1,SH3BGRL3,ARHGAP6
CSDE1,CRYAB,Cse1l,C7,FBXO7,CSNK2B,K2C1,SHBG,ARHGDIA
CSE1L,CRYZ,CSK,C9,FBXW9,CSRP1,K2C5,SHPK,ARHGDIB
CSK,CS,csn2,CA3,FCSK,CSRP1,K2C6A,SLC9A3R1,ARHGEF1
CSN2,CSE1L,CSNK1G3,CA8,FDPS,CSRP1,K2C6C,SMOC1,ARHGEF10
CSNK2A1,CSNK2A1,Csnk2a1,CAB39,FERMT2,CSRP2,K2C7,SNCG,ARHGEF11
CSNK2A2,CSNK2B,CSNK2A2,CAB39L,FETUB,CSRP2,K2C7,SOD1,ARHGEF12
CSNK2B,CSTF2,Csrp1,CACNA2D1,FGA,CSTB,K2C75,SOD3,ARHGEF17
CSRP1,CSTF2T,CTDSP1,CACYBP,FGB,CSTB,K2C8,SPARCL1,ARHGEF2
CSTF2,CTBP1,Ctnnb1,CAD,FGG,CTC1,K2C8,SPINK9,ARHGEF25
CSTF2T,CTBP2,CTNND1,CADM1,FGGY,CTNNA1,K2M3,SRI,ARHGEF40
CTBP1,CTNNA1,Ctps1,CALD1.1,FH,CTSD,K6PL,SSB,ARHGEF5
CTBP2,CTNNA2,Cttn,CALM3,FHL1,CTSD,KAD1,ST13,ARHGEF6
CTNNA1,CTNNB1,Cul1,CALR,FIS1,CTSZ,KAP2,ST6GAL1,ARHGEF7
CTNNA2,CTNND1,CUL2,CALU,FKBP3,CTSZ,KAPCA,STIP1,ARID1A
CTNNB1,CTSB,CUL3,CAMK1,FKBP4,CTSZ,KCC2D,SUMO2,ARID2
CTNND1,CTSD,CUL4B,CAMK2G,FKBP5,CYB5A,KCRB,SZT2,ARID3A
CTPS1,CUL1,CUL5,CAND2,FLNA,CYB5A,KCY,TAGLN,ARID3B
CTSB,CWC25,CYB5R3,CANX,FLNB,CYB5R3,KI13B,TAGLN2,ARID4B
CTSD,CYFIP1,CYFIP1,CAP1,FLOT2,CYB5R3,KINH,TF,ARIH1
CTTN,cyfip2,Cyfip2,CAP2,FN3KRP,CYB5R3,KNG1,TFG,ARL1
CUL1,DARS,CYP20A1,CAPG,FNTA,CYC1,KPYM,TKT,ARL15
CUL2,DBT,CYP51A1,CAPN1,FSCN1,CYC1,KRA61,TMSB10,ARL2
CUL3,DCAKD,CYTH2,CAPN2,FTH1,CYCS,KRT35,tnx,ARL3
CUL4B,DCN,Daam1,CAPN5,FTL,CYCS,KRT81,TPI1,ARL6IP1
CUL5,DCTN1,Dad1,CAPNS1,FUBP1,CYCS,KRT83,TPM1,ARL6IP4
CYB5R3,DCTN2,DAPK2,CAPRIN1,G6PD,DAD1,KS6A3,TPM1,ARL6IP5
CYFIP1,DCTN4,DARS,CAPS,GALK1,DAZAP1,KT33B,TPM1,ARL6IP6
CYFIP2,DCXR,DCAF11,CAPZA1,GALK2,DBNL,LANC1,TPM1,ARL8A
CYTH2,DDB1,Dcaf7,CAPZB,GALM,DBNL,LASP1,TPM3,ARL8B
DAPK2,DDOST,Dcaf8,CARM1,GAMT,DCAF12,LDHA,TPM4,ARMC1
DCAF11,DDX1,Dcakd,CARMIL1,GAPDH,DCLK1,LDHB,TPPP3,ARMC10
DCAF7,DDX17,Dcdc2,CARS1,GARS1,DCLK1,LEG1,TRPV4,ARMC8
DCAF8,DDX39B,DCLK1,CASC1,GART,DCLK1,LG3BP,TTN,ARMC9
DCDC2,DDX3X,DCTN1,CASP3,GBA3,DCPS,LIMK2,TTR,ARMCX2
DCN,DDX5,DCTN2,CASP7,GBE1,DCTN2,LKHA4,TUBA1A,ARMCX3
DCTN1,DDX6,Dcun1d1,CASP9,GBP5,DCTN2,LRBA,TUBB,ARMT1
DCTN2,DES,Ddah2,CAST,GC,DDOST,LUM,TUBB4A,ARPC1A
DCTN4,DGKA,DDB1,CAT,GCN1,DDX17,LV101,TXNDC12,ARPC1B
DCUN1D1,DGKE,ddost,CAV3,GDI1,DDX39B,LV102,TXNDC17,ARPC2
DCXR,DHRS7,Ddx17,CAVIN1,GDI2,DDX3X,LV109,TXNDC5,ARPC3
DDAH2,DHX15,DDX19A,CAVIN2,GFPT1,DDX3X,LYAM3,UBA1,ARPC4
DDB1,DHX9,Ddx39b,CAVIN3,GFUS,DDX3X,LYPA1,UGGT1,ARPC5
DDX1,DIAPH1,Ddx3x,CBFB,GGA1,DDX5,LYSC1,VCAN,ARPC5L
DDX17,DKC1,Ddx6,CBL,GLO1,DDX5,LZTL1,VCL,ARPIN
DDX19A,DLD,Defa-rs12,CBS,GLOD4,DHX9,MA2A1,VCP,ARPP19
DDX39B,DLG1,Denr,CBWD1,GLOD4,DLA88,MAP4,VIM,ARRB1
DDX3X,DLST,DGKZ,CBX3,GMDS,DLA88,MARE1,VTN,ARRB2
DDX5,DNAH1,DHRS11,CBX5,GMPPA,DLA88,MAST4,WDR1,ARSA
DDX6,DNAH12,DHX30,CC2D1A,GMPPB,DLST,MAT2B,WFDC2,ARSB
DENR,DNAH17,DHX9,CC2D2A,GMPR,DLST,MDHC,YWHAB,ARSD
DES,DNAH2,DIAPH1,CCAR1,GMPR2,DMAC1,MDHM,YWHAE,ASAH1
DGKB,DNAH3,DIAPH2,CCAR2,GMPS,DMAC1,MIF,YWHAG,ASCC1
DGKZ,DNAH5,dicer1,CCDC103,GNA11,DNAH3,MIPT3,YWHAH,ASCC2
DHRS11,DNAH6,DIP2B,CCDC186,GNA12,DNAJA2,MK01,YWHAQ,ASCC3
DHX15,DNAH9,DLEC1,CCDC187,GNAI2,DNAJB11,ML12A,YWHAZ,ASH2L
DHX30,DNAI1,Dlg1,CCDC22,GNAQ,DNAJB11,MOB1A,,ASL
DHX9,DNAI2,DLG3,CCDC25,GNAS,DNAJB11,MOES,,ASMTL
DIAPH1,DNAJA1,DLGAP4,CCDC39,GNB4,DNAJC5,MP2K1,,ASNS
DIAPH2,DNAJA2,DLST,CCDC40,GNE,DNAJC6,MPRI,,ASPH
DIP2B,DNAJA4,DMBT1,CCDC6,GNG12,DNPEP,MTAP,,ASPM
DLG1,DNAJB1,Dmxl1,CCDC78,GNPDA1,DPM3,MTG8R,,ASPN
DLG3,DNAJB11,Dmxl2,CCDC93,GNPDA2,DPP3,MUC16,,ASPSCR1
DLGAP4,DNAJB13,DNAAF1,CCM,GOT1,DPP3,MUC19,,ASRGL1
DMXL1,DNAJB3,DNAH1,CCS,GPD1,DPYSL2,MUC5A,,ASS1
DNAAF1,DNAJB6,DNAH10,CCT2,GPD1L,DPYSL2,MVP,,ATAD1
DNAH1,DNAJC3,DNAH11,CCT4,GPHN,DPYSL2,MX1,,ATAD3A
DNAH10,DNM1,DNAH12,CCT5,GPI,DPYSL3,MY18B,,ATAD3B
DNAH11,DNM2,DNAH2,CCT7,GPI,DPYSL3,MYCB2,,ATG101
DNAH12,DNM3,DNAH3,CCT8,GPRC5C,DPYSL3,MYH10,,ATG12
DNAH17,DNPEP,DNAH5,CD109,GPS1,DPYSL4,MYH11,,ATG16L1
DNAH3,DPCD,DNAH6,CD151,GPX2,DPYSL4,MYH14,,ATG2A
DNAH5,DPP7,DNAH7,CD2AP,GPX4,DPYSL4,MYH9,,ATG3
DNAH6,DPYSL2,DNAH9,CD2BP2,GRHPR,DSTN,MYL6,,ATG4A
DNAH7,DPYSL3,DNAI2,CD5L,GSK3B,DSTN,MYLK,,ATG5
DNAI1,DSC2,DNAJA1,CD63,GSN ,DTD1,MYO6,,ATG7
DNAI2,DSEL,Dnaja2,CD82,GSPT1,DTD1,NAA35,,ATG9A
DNAJA1,DSG1,DNAJA4,CD9,GSR,DYNC1H1,NACAM,,ATIC
DNAJA2,DSG2,Dnajb1,CDA,GSS,DYNC1H1,NCBP1,,ATL2
DNAJA4,DSP,DNAJB11,CDC123,GSTA3,DYNC1I2,NCOA2,,ATL3
DNAJB1,DSTN,Dnajb13,CDC37,GSTA4,DYNC1I2,NDKA1,,ATM
DNAJB11,dydc2,DNAJB6,CDC42,GSTM3,DYNLL1,NDKB,,ATOX1
DNAJB13,DYNC1H1,DNAJC10,CDC42BPB,GSTO1,DYNLL1,NEDD1,,ATP11B
DNAJB6,DYNC1I2,DNAJC13,CDC5L,GSTP1,DYNLL1,NHRF1,,ATP13A1
DNAJC10,DYNC2H1,DNAJC2,CDH1,GUCY1A1,DYNLL2,NIBL1,,ATP13A3
DNAJC13,DYNLL1,DNAJC7,CDH13,GUCY1B1,DYNLT1,NMRL1,,ATP1A1
DNAJC2,DYNLRB1,DNAL1,CDIPT,GYG1,ECE1,NNRE,,ATP1B1
DNAJC3,DYNLRB2,Dnali1,CDK18,H2AC16,ECE1,NP1L1,,ATP1B3
DNAJC7,EBNA1BP2,Dnm1l,CDK4,H2BC13,ECHS1,NPT2B,,ATP2A2
DNAL1,ECH1,DOCK1,CDK5,H3C14,ECHS1,NSF1C,,ATP2B1
DNALI1,ECHS1,DOCK6,CDK6,H4C15,ECHS1,NTF2,,ATP2B4
DNM1L,ECI1,DOCK7,CDK9,HARS1,EEF1A1,NUCB1,,ATP5F1A
DNM2,EEA1,DOCK9,CDKN2AIP,HBA,EEF1A1,NUCL,,ATP5F1B
DNM3,EEF1A2,Dopey1,CDS2,HBA ,EEF1A1,NUDC,,ATP5F1C
DNPEP,EEF1B2,DOPEY2,CDV3,HBB ,EEF1D,OLA1,,ATP5F1D
DOCK1,EEF1D,DPCD,CELF1,HCFC2,EEF1D,OSTP,,ATP5F1EP2
DOCK7,EEF1G,DPM1,CERS2,HDDC3,EEF1D,OTUB1,,ATP5IF1
DOCK9,EEF2,Dpp6,CERT1,HDGF,EEF1G,OVGP1,,ATP5ME
DPCD,EFHC1,DPP8,CFAP20,HDHD2,EEF1G,PA1B2,,ATP5MF
DPP8,EFHC2,Dpyd,CFAP298,HEBP2,EEF1G,PA1B3,,ATP5MG
DPYD,EFHD2,DRC1,CFAP300,HERC4,EEF2,PA2G4,,ATP5MK
DPYSL2,EFTUD2,DRG1,CFAP36,HEXD,EEF2,PAIRB,,ATP5PB
DPYSL3,EHD1,DRG2,CFAP44,HIF3A,EEF2,PARK7,,ATP5PD
DRC1,EHD2,DSC1,CFAP52,HINT1,EHD2,PCBP1,,ATP5PF
DRG1,EHD3,DSCR3,CFAP53,HMBS,EHD2,PCBP2,,ATP5PO
DRG2,EIF2B5,DSG1,CFAP57,HMGB1,EIF1,PCD23,,ATP6AP1
DSC2,EIF2S1,DSP,CFAP70,HMGB2,EIF2S1,PCNA,,ATP6AP2
DSG2,EIF2S3,DSTN,CFB.1,HMGCS1,EIF2S1,PDC6I,,ATP6V0A1
DSP,EIF3D,DYNC1H1,CFB.2,HNRNPA1,EIF2S1,PDE4A,,ATP6V0A2
DSTN,EIF3E,Dync1i2,CFI.1,HNRNPAB,EIF2S2,PDE6B,,ATP6V0D1
DYNC1H1,EIF3H,Dync1li1,CFL1,HNRNPDL,EIF2S3,PDIA1,,ATP6V1A
DYNC1I2,EIF3I,DYNC1LI2,CFL2,HNRNPDL,EIF2S3,PDIA3,,ATP6V1B2
DYNC1LI1,EIF3L,DYNC2H1,CGN,HNRNPH1,EIF2S3,PDIA4,,ATP6V1C1
DYNC1LI2,EIF4A1,Dynll1,CHCHD3,HNRNPK,EIF3A,PDLI1,,ATP6V1D
DYNLL1,EIF4A2,Dynlrb2,CHD4,HNRNPU,EIF3A,PDXK,,ATP6V1E1
DYNLRB1,EIF4A3,Dynlt1,CHERP,HPRT1,EIF3C,PEBP1,,ATP6V1F
DYNLRB2,EIF5A,dyrk1a,CHI3L1,HPX,EIF3D,PEDF,,ATP6V1G1
DYNLT1,EIF5A2,Ece1,CHM,HRAS,EIF3D,PEPA,,ATP6V1H
DYRK1A,ELAVL1,ECM29,CHMP2A,HRG,EIF3F,PEPD,,ATP7B
EDC4,EMD,EDC4,CHMP3,HSP90AA1,EIF3F,PGAM1,,ATP9B
EEA1,EMP1,EEA1,CHMP4B,HSP90AB1 ,EIF3F,PGBM,,ATPAF2
EEF1A1,ENDOD1,EEF1A1,CHMP5,HSP90B1,EIF3H,PGK1,,ATRAID
EEF1A2,ENKUR,EEF1E1,CHMP7,HSPA1A,EIF3H,PGM1,,ATRN
EEF1D,ENO1,EEF2,CHN1,HSPA1L,EIF3I,PGM2,,ATRX
EEF1E1,ENO3,EEPD1,CHORDC1,HSPA2,EIF3I,PGS2,,ATXN1
EEF1G,ENPP3,EFCAB7,CHUK,HSPA4,EIF3K,PHP14,,ATXN10
EEF2,EPB41,Efhc1,CIAO1,HSPA4L,EIF3K,PHS,,ATXN2
EFCAB7,EPCAM,EFR3A,CIAO2B,HSPA8,EIF3K,PI3R5,,ATXN2L
EFHD2,EPHX1,EFR3B,CIAPIN1,HSPB1,EIF3L,PIMT,,ATXN3
EFR3A,EPHX2,Eftud2,CIRBP,HSPH1,EIF3L,PLAK,,AUH
EFTUD2,EPRS,EHD1,CISD1,HTRA4,EIF3L,PLMN,,AUP1
EHD1,EPS8L1,EHD2,CISD2,HUWE1,EIF3M,PLMN,,AVEN
EHD2,ERAP1,EHD4,CIZ1,HYI,EIF3M,PLSI,,AVL9
EHD3,ERGIC1,Eif2ak4,CKAP5,HYOU1,EIF4A1,PLSL,,AZGP1
EHD4,ERICH3,EIF2B2,CKB,IAH1,EIF4A1,PLST,,AZU1
EIF2AK4,ERLIN1,EIF2B3,CLASP1,IARS1,EIF4A1,PLTP,,B2M
EIF2B2,ERLIN2,Eif2b4,CLASP2,IDH1,EIF4B,PMM2,,B3GAT3
EIF2B3,ERO1A,EIF2B5,CLDN1,IGF2R,EIF4E,PNCB,,B3GLCT
EIF2B4,ERP29,Eif2s1,CLEC3B,ILF3,EIF4G3,PNPH,,B4GALT1
EIF2B5,ERP44,EIF2S2,CLIC1,IMPA1,EIF4H,PP1B,,B4GAT1
EIF2S1,ESCO2,Eif2s3x,CLIC2,IMPACT,EIF5A,PP1R7,,BABAM1
EIF2S2,ESD,EIF3A,CLIC3,IMPDH2,EIF5A,PP2AA,,BABAM2
EIF2S3,ESYT1,Eif3b,CLIC4,IPO5,EIF6,PPCE,,BAG1
EIF3A,ESYT2,EIF3C,CLIC5,IPO7,EIF6,PPCS,,BAG2
EIF3B,ETFA,Eif3d,CLIC6,IPO9,EIF6,PPIA,,BAG3
EIF3C,ETFB,Eif3e,CLINT1,IQGAP1,ELAVL1,PPIB,,BAG5
EIF3D,ETHE1,EIF3F,CLIP1.1,IQGAP2,ELAVL1,PPID,,BAG6
EIF3E,EWSR1,EIF3G,CLNS1A,IRF3,ELAVL1,PRDX1,,BAIAP2
EIF3F,EZR,EIF3H,CLPP,IRGQ,ELOA,PRDX2,,BAIAP2L1
EIF3G,F13A1,Eif3i,CLTA,ISG15,ELOC,PRDX5,,BANF1
EIF3H,F13B,EIF3J,CLTB,ISOC1,ELOC,PRDX6,,BAP18
EIF3I,F2,EIF3K,CLTC,IST1,EMC3,PROF1,,BASP1
EIF3J,FABP3,EIF3L,CLU,ISYNA1,EMC8,PROF2,,BAX
EIF3K,FABP5,Eif3m,CLUAP1,ITIH1,ENO1,PRS10,,BAZ1A
EIF3L,FAM129B,Eif4a1,CLUH,ITIH2,ENO1,PRS6B,,BAZ1B
EIF3M,fam166b,Eif4a2,CMBL,ITPA,ENO1,PRS8,,BBS9
EIF4A1,FAM181A,Eif4a3,CMPK1,JPT2,EPB41L3,PSA,,BBX
EIF4A2,FAM213A,EIF4G1,CNBP,KARS1,EPRS,PSA1,,BCAM
EIF4A3,FAM92B,EIF4G2,CNDP1,KCNB2,EPRS,PSA2,,BCAP29
EIF4G1,FARP1,EIF4G3,CNDP2,KCTD12,ERH,PSA3,,BCAP31
EIF4G2,FARSA,EIF5,CNN1,KHSRP,ERP29,PSA4,,BCAR3
EIF4G3,FARSB,Eif5a,CNN2,KIF5B,ERP29,PSA5,,BCAS2
EIF5,FASN,EIF5B,CNN3,KLC3,ESRP1,PSA6,,BCAS3
EIF5A,FBL,eif6,CNOT1,KNG1,ETFA,PSA7,,BCAT1
EIF5B,FBLN1,ELMO1,CNOT11,KPNB1,ETFA,PSB1,,BCAT2
EIF6,FECH,Elmo3,CNOT7,KRT1,ETFB,PSB10,,BCCIP
ELAVL1,FERMT2,ELP3,CNOT9,KRT10A,ETHE1,PSB2,,BCHE
ELMO3,FGA,EMC1,CNP,KRT77,ETHE1,PSB3,,BCKDHA
ELP3,FGB,EMC3,CNPY2,KYAT1,EVPL,PSB4,,BCKDHB
EMD,FGG,Eml1,CNRIP1,KYAT3,EZR,PSB6,,BCL10
EML1,FH,EML3,CNTRL,L3HYPDH,EZR,PSB9,,BCL2
EML3,FHL1,EML4,COASY,LAGE3,EZR,PSD11,,BCL2L1
EML4,FKBP11,ENAH,COBLL1,LANCL1,FABP3,PSD7,,BCL2L12
ENAH,FKBP4,Enpp3,COG1,LANCL2,FABP3,PSMD1,,BCL2L13
ENO1,FLII,epb41,COG2,LAP3,FABP3,PSMD2,,BCL7B
ENO3,FLNA,Epb41l1,COG3,LARS1,FAM49B,PSMD5,,BCLAF1
ENPP3,FLNB,EPB41L2,COG4,LASP1,FAM81B,PSME1,,BCR
EPB41,FLRT3,EPB41L3,COG5,LCN2,FASN,PSME2,,BCS1L
EPB41L1,FMO1,EPB41L4A,COG6,LCP1,FASN,PTBP1,,BDH1
EPB41L2,FMO2,EPB41L4B,COG7,LDHA,FAT1,PTGR1,,BDH2
EPB41L3,FMO5,Epb41l5,COG8,LDHB,FAU,PTGR2,,BET1L
EPB41L5,FN1,Ephb2,COL12A1,LGALS3,FAU,PTN3,,BGN
EPCAM,FN3KRP,Epn1,COL18A1,LGALS3BP,FAU,PTPA,,BHLHE40
EPHX1,folr1,EPPK1,COL1A1,LGALSL,FBL,PTPRZ,,BIN1
EPHX2,FUBP1,EPRS,COL1A2,LRBA,FCHSD1,PUR4,,BIN2
EPN1,FUK,Eps15,COL6A1,LRG1,FCHSD1,PUR8,,BIN3
EPPK1,FUS,EPS15L1,COL6A3,LRP2,FH,PUR9,,BIRC6
EPS15,FYN,EPS8,COLGALT1,LRP5,FH,PURA2,,BLMH
EPS15L1,G6PD,ERC1,COMMD4,LSM2,FH,PYGB,,BLVRA
EPS8,GALK1,ERGIC1,COMMD7,LSM8,FHL2,PYGL,,BLVRB
EPS8L1,GALM,Ergic2,COMMD9,LTA4H,FIS1,QOR,,BMP1
EPS8L2,GAN,ERGIC3,COPA,LYPLA1,FIS1,QSOX1,,BMS1
ERAP1,GANAB,ERICH3,COPB1,LYPLA2,FKBP10,RAB14,,BNIP1
ERC1,GAPDH,ERLEC1,COPB2,LYPLAL1,FKBP10,RAB1A,,BNIP2
ERGIC1,GAPDHS,Erlin2,COPE,LZIC,FKBP10,RAB1B,,BOD1L1
ERO1A,GART,ERP44,COPG1,LZTFL1,FKBP11,RAB2A,,BOK
ERP29,GAS2L2,Esrp1,COPG2,MAN2C1,FKBP11,RAB5B,,BOLA2
ERP44,GAS8,ESYT1,COPS2,MAP2K6,FKBP11,RAB5C,,BOLA2B
ESD,GBAS,Etf1,COPS3,MAP4,FKBP4,RAB7A,,BOP1
ESRP1,GBE1,Evi5,COPS5,MAPK1,FKBP4,RABP1,,BORCS5
ETF1,GC,EVPL,COPS6,MAPK3,FKBP4,RAC1,,BORCS6
ETFA,GCDH,EXOC1,COPS7A,MAPRE1,FLNA,RADI,,BPGM
EWSR1,GDI1,Exoc3,COPS7B,MARCKS,FLNA,RAN,,BPI
